0,1,2,3,4,5
tt0113092,Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out leaving the new cities in ruins. It falls to a bunch of teens to bring peace to the colony - but will they?,"3,4/10",1h 40min,"['David Douglas', 'Tim Douglas']","['David Douglas', 'Christopher Salazar']"
tt0116748,"Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince... Leer todo","3,7/10",3h,['Rakesh Roshan'],"['Sachin Bhowmick', 'Ravi Kapoor', 'Sagar Sarhadi']"
tt0116391,"After falling prey to underworld, four friends jeopardize their personal lives with point of no return.","6,2/10",2h 47min,['Mazhar Khan'],"['Jackie Shroff', 'Nana Patekar', 'Kumar Gaurav']"
tt0118694,"Dos vecinos forman un fuerte vínculo después de que ambos sospechen de actividades extramatrimoniales de sus cónyuges. Sin embargo, acuerdan mantener su vínculo platónico para no cometer errores similares.","8,1/10",1h 38min,[],[]
tt0118852,"Harry and Jake, two unsuccessful writers, spend a cathartic evening arguing about money, aesthetics, their friendship, and Harry's new manuscript.","7,1/10",1h 39min,['Al Pacino'],['Ira Lewis']
tt0119495,"A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?","5,0/10",1h 26min,['Adrian Fulle'],"['Adrian Fulle', 'David J. Miller', 'Daniel Bingley']"
tt0120485,"Based on the award-winning best seller by Jess Mowry, ""Way Past Cool"" is a coming-of-age story told in reverse, for it is the story of a group of young black kids and their fight to reclaim their childhood.","6,3/10",1h 36min,[],[]
tt0120467,A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,"5,2/10",1h 27min,[],[]
tt0122161,"The entangled stories around the life of Elsie Taryn Townsendz, who becomes rich from being a country town's girl.","4,9/10",1h 39min,[],[]
tt0120626,"En Portugal, en la noche del 24 al 25 de abril, una canción desencadenó un golpe de Estado que cambiaría la faz del país y el destino de los territorios que entonces dominaba en África.","7,1/10",2h 3min,[],[]
