0,1,2,3,4,5
tt0119806,"Three longtime pals live in San Francisco: Darin is married to Natalie, but their family life is too still and Darin is not happy about it, Matt is ladies' magnet but tired of it, trying to get something stable from his relationships, and goofy Kevin doesn't have any success with women at all. Darin starts an affair with his friend's wife Maxine and Matt falls deeply ... Leer todo","6,0/10",1h 38min,"['David Elliot', 'Mark Huppin']","['David Elliot', 'Mark Huppin']"
tt0123055,"Young elf Elmer wants to become a real boy. He steals Santa's sleigh and escapes to the real world, where he meets a young girl who needs a heart transplant.","3,8/10",1h 30min,['Rodney McDonald'],['Karen Kelly']
tt0138583,"Capturing the soul-searching efforts of finding the ""right one"" in life, this is the story of Bryan and Kate, two lonely souls searching for true love. Can a chance meeting by an apartment trash dumpster spark a romance meant to last?","6,2/10",1h 17min,['Paul Lombardo'],['Paul Lombardo']
tt0137115,"An earlier movie about the legendary character, The Mothman. This was filmed on location at two different places that he supposedly was seen.","7,2/10",1h 17min,['Doug TenNapel'],['Doug TenNapel']
tt0138631,"Brad and Gregor, two broke medical students in their final year and debut to a loan shark, must resort to contentious lengths to finance themselves. A fresh comedy with scruple less students.","5,6/10",1h 37min,['Dean Murphy'],['R.B. Taylor']
tt0141399,"Bette Midler and Nathan Lane star in this comedy about Jacqueline Susann, the ambitious woman of dubious talent who wrote Valley of the Dolls, a best-selling novel that became a sensation.","5,3/10",1h 35min,['Andrew Bergman'],"['Michael Korda', 'Paul Rudnick']"
tt0142650,An aspiring writer from New York visits his girlfriend's eccentric family in Georgia.,"4,6/10",1h 36min,['Peter Gould'],['Peter Gould']
tt0146682,We follow a movie extra's performances in several films.,"9,3/10",1h 46min,['Philip Pucci'],"['Chris Hume', 'Philip Pucci']"
tt0156741,Un artista de Los Ángeles se encuentra de repente con su vida patas arriba cuando su exposición de arte es cancelada y su novia modelo le abandona.,"4,9/10",1h 29min,['Dan Bootzin'],"['Dan Bootzin', 'Elizabeth Rivera Bootzin']"
tt0160182,"Lily is a twenty-something aspiring writer who receives an invitation to attend a wedding reception with Jonathan, a handsome entomologist who also happens to be the man of her dreams. The only problem is that she's in San Francisco and the wedding is in L.A. Lily is therefore forced to enlist the aid of her friend Frances, an unrepentant party girl who has the L.A. n... Leer todo","4,0/10",1h 34min,['Bill Fishman'],"['Nicole Coady', 'Halle Eaton', 'Abbe Wool']"
tt0166192,"Two teenage detectives, who started off finding lost kittens, begin searching for a missing high-school senior.","5,6/10",1h 28min,['Lynn Hamrick'],"['Susanne Santoro Whayne', 'Monty Mickelson']"
tt0166339,A struggling writer is torn between the girl he loves and the horror movie he is living.,"7,8/10",1h 29min,['Ty Bradford'],"['Eddie McClintock', 'Kellie Waymire', 'Eric Matheny']"
tt0168578,"Just as a man discovers that the girl of his dreams has been with him all the time, she walks out the door.","4,4/10",1h 33min,['Jeremy Wagener'],['Jeremy Wagener']
