0,1,2,3,4,5
tt0113092,Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out leaving the new cities in ruins. It falls to a bunch of teens to bring peace to the colony - but will they?,"3,4/10",1h 40min,"['David Douglas', 'Tim Douglas']","['David Douglas', 'Christopher Salazar']"
tt0116748,"Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince... Leer todo","3,7/10",3h,['Rakesh Roshan'],"['Sachin Bhowmick', 'Ravi Kapoor', 'Sagar Sarhadi']"
tt0116391,"After falling prey to underworld, four friends jeopardize their personal lives with point of no return.","6,2/10",2h 47min,['Mazhar Khan'],"['Jackie Shroff', 'Nana Patekar', 'Kumar Gaurav']"
tt0118852,"Harry and Jake, two unsuccessful writers, spend a cathartic evening arguing about money, aesthetics, their friendship, and Harry's new manuscript.","7,1/10",1h 39min,['Al Pacino'],['Ira Lewis']
tt0119495,"A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?","5,0/10",1h 26min,['Adrian Fulle'],"['Adrian Fulle', 'David J. Miller', 'Daniel Bingley']"
tt0120753,Tragicómica y romántica novela de policía ambientada en un hotel en ruinas que acoge a personas con enfermedades mentales demasiado pobres para pagar un seguro médico.,"5,7/10",2h 2min,['Wim Wenders'],"['Nicholas Klein', 'Bono']"
tt0137115,"An earlier movie about the legendary character, The Mothman. This was filmed on location at two different places that he supposedly was seen.","7,2/10",1h 35min,['Doug TenNapel'],['Doug TenNapel']
tt0138818,"A son visits his aging mother and sees tragic, intermittent signs of senility, but she pleads with him not to send her to a sanitarium.","6,5/10",1h 37min,['Douglas Green'],['Mitch Giannunzio']
tt0141399,"Bette Midler and Nathan Lane star in this comedy about Jacqueline Susann, the ambitious woman of dubious talent who wrote Valley of the Dolls, a best-selling novel that became a sensation.","5,3/10",1h 35min,['Andrew Bergman'],"['Michael Korda', 'Paul Rudnick']"
tt0151150,"Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother.","6,1/10",2h 42min,['Mansoor Khan'],"['Aatish Kapadia', 'Mansoor Khan', 'Nidhi Tuli']"
