0,1,2,3,4,5
tt0113092,accion,For the Cause,movie,2002,5
tt0116391,accion,Gang,movie,2000,4
tt0116628,accion,The Incorporated,movie,2000,
tt0119273,accion,Heavy Metal 2000,movie,2000,5
tt0120755,accion,Mission: Impossible II,movie,2000,7
tt0120913,accion,Titan A.E.,movie,2000,8
tt0120903,accion,X-Men,movie,2000,9
tt0132910,accion,The Crow: Salvation,movie,2000,6
tt0134847,accion,The Chronicles of Riddick: Pitch Black,movie,2000,11
tt0141926,accion,U-571,movie,2000,9
tt0143344,accion,Knockout,movie,2000,2
tt0144964,accion,Highlander: Endgame,movie,2000,9
tt0144608,accion,Sinbad: Beyond the Veil of Mists,movie,2000,2
tt0147486,accion,Shafted!,movie,2000,3
tt0151150,accion,Josh,movie,2000,6
tt0157202,accion,Yup Yup Man,movie,2005,1
tt0160009,accion,The Art of War,movie,2001,1
tt0160127,accion,Charlie's Angels,movie,2000,12
tt0162650,accion,Shaft,movie,2000,11
tt0164052,accion,Hollow Man,movie,2000,8
tt0165642,accion,Black Sea 213,movie,2000,4
tt0165400,accion,Nautilus,movie,2000,4
tt0165929,accion,Romeo Must Die,movie,2000,8
tt0167367,accion,Red Team,movie,2000,6
tt0168714,accion,Dream Witch,movie,2000,5
tt0168504,accion,A Better Way to Die,movie,2001,9
tt0170452,accion,Prince of Central Park,movie,2000,12
tt0172495,accion,Gladiator,movie,2000,5
tt0172109,accion,Alex l'ariete,movie,2000,7
tt0172464,accion,The Million Dollar Kid,movie,2001,4
tt0176650,accion,Delta Force One: The Lost Patrol,movie,2000,10
tt0176579,accion,Bullfighter,movie,2000,10
tt0177971,accion,The Perfect Storm,movie,2000,9
tt0179183,accion,Fortress 2,movie,2000,3
tt0179987,accion,Mondialito,movie,2001,1
tt0179861,accion,Icebreaker,movie,2000,5
tt0183280,accion,Intrepid,movie,2000,4
tt0181836,accion,The Specials,movie,2000,9
tt0183869,accion,Taxi 2,movie,2001,1
tt0184858,accion,Reindeer Games,movie,2000,10
tt0184894,accion,Shanghai Noon,movie,2000,6
tt0184457,accion,"Farewell, My Love",movie,2000,2
