0,1,2,3,4,5
tt0119495,Adrian Fulle,"Adrian Fulle, David J. Miller, Daniel Bingley",5.0,1h 26min,"A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?"
tt0119806,"David Elliot, Mark Huppin","David Elliot, Mark Huppin",6.0,1h 38min,"Three longtime pals live in San Francisco: Darin is married to Natalie, but their family life is too still and Darin is not happy about it, Matt is ladies' magnet but tired of it, trying to get something stable from his relationships, and goofy Kevin doesn't have any success with women at all. Darin starts an affair with his friend's wife Maxine and Matt falls deeply ... Leer todo"
tt0120202,David Mamet,David Mamet,6.7,1h 45min,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.
tt0123003,"Shirley Mac, Laine",David Ciminello,6.0,1h 48min,
tt0120263,Roy Andersson,Roy Andersson,7.5,1h 38min,
tt0123055,"Rodney Mc, Donald",Karen Kelly,3.8,1h 30min,"Young elf Elmer wants to become a real boy. He steals Santa's sleigh and escapes to the real world, where he meets a young girl who needs a heart transplant."
tt0120630,"Peter Lord, Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick",7.1,1h 24min,
tt0120698,Keoni Waxman,Richard Beattie,4.4,1h 34min,"A dark, comedic thriller about fraud, bank robbers, and a search for love."
tt0120917,Mark Dindal,"Chris Williams, Mark Dindal, David Reynolds",7.4,1h 18min,
tt0122459,Bonnie Hunt,"Bonnie Hunt, Don Lake, Andrew Stern",6.9,1h 55min,A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.
tt0124798,Steven L. Austin,Josh Olson,5.0,15min,"""Bill"" is a gung-ho advertising executive with too much power and too few people skills. We find him working on a campaign for a soothing vacation package, but his life is quite the opposite: a constant barrage of mobile phone calls, pages and faxes. One evening, as Bill wraps up the deal (while simultaneously listening to a CD, his answering machine messages, and wat... Leer todo"
tt0131704,"Des Mc, Anuff","Jay Ward, Kenneth Lonergan",4.3,1h 32min,
tt0134630,Bruce Paltrow,John Byrum,6.1,1h 52min,"A professional karaoke hustler reconnects with his daughter and a bored suburban businessman turns outlaw karaoke singer, among other plotlines."
tt0138583,Paul Lombardo,Paul Lombardo,6.2,1h 17min,"Capturing the soul-searching efforts of finding the ""right one"" in life, this is the story of Bryan and Kate, two lonely souls searching for true love. Can a chance meeting by an apartment trash dumpster spark a romance meant to last?"
tt0138288,Thomas J. La Sorsa,"Thomas J. La Sorsa, Christopher Lynn",6.4,1h 22min,"Fed up with his overbearing mother, his pathetic love life, his lack of money, and especially his cruel boss, Brooklyn-boy Marco decides to rob the fish market where he works (with the help of a few friends). Of course, all does not go as planned..."
tt0138749,"Bibo Bergeron, Don Paul, Jeffrey Katzenberg","Ted Elliott, Terry Rossio, Karey Kirkpatrick",6.9,1h 29min,
tt0138631,Dean Murphy,R.B. Taylor,5.6,1h 37min,"Brad and Gregor, two broke medical students in their final year and debut to a loan shark, must resort to contentious lengths to finance themselves. A fresh comedy with scruple less students."
tt0139388,Steven Feder,Steven Feder,5.6,1h 36min,Two strangers meet and sparks fly during the weekend that they are planning their respective weddings.
tt0141399,Andrew Bergman,"Michael Korda, Paul Rudnick",5.3,1h 35min,"Bette Midler and Nathan Lane star in this comedy about Jacqueline Susann, the ambitious woman of dubious talent who wrote Valley of the Dolls, a best-selling novel that became a sensation."
tt0144142,Lisa Krueger,Lisa Krueger,5.1,1h 38min,A young woman goes in search of her midlife crisis suffering husband who left her.
tt0142650,Peter Gould,Peter Gould,4.6,1h 36min,An aspiring writer from New York visits his girlfriend's eccentric family in Georgia.
tt0145272,Thomas Gill,Matt Jennings,,,"A young man named Milton has just received a package in the mail, but he can't see it because an annoying redneck named Mudd won't leave him alone."
tt0144528,Peter Segal,"Jerry Lewis, Steve Oedekerk, Barry W. Blaustein",4.5,1h 46min,
tt0144574,Alexandra King,Alexandra King,6.5,1h 30min,Two draq queens go on a Bonnie & Clyde rampage around New York City... but neither one wants to be Clyde
tt0146682,Philip Pucci,"Chris Hume, Philip Pucci",9.3,2000,We follow a movie extra's performances in several films.
tt0146882,Stephen Frears,"Nick Hornby, D.V. De, Vincentis, Steve Pink",7.4,1h 53min,
tt0147486,Tom Putnam,"Michael S. Harbour, Jeff Malmberg, Tom Putnam",4.1,1h 30min,"Steven Byzinsky is convinced he's a blaxploitation superhero. Like Shaft, Dolemite and Black Belt Jones before him, he's keeping' the streets safe for the brother and trying to stay one step ahead of The Man. There's only one problem: Steven's white."
tt0149367,Marek Kanievska,"E. Max Frye, Topper Lilien, Carroll Cartwright",6.3,1h 29min,
tt0151309,Joe Grisaffi,"George Douglas Lee, Joe Grisaffi",5.8,1h 22min,"Is having fun and saying what you really think politically incorrect? Or is it impossible to do both? Cody McKenzie thinks nobody has parties anymore. Maybe they do, but he just isn't invited to any. However, tonight, Cody and his wife Judy are going to a very special party. Elizabeth Sheridan, star of Cody's fantasies, is giving it for the engagement of his best frie... Leer todo"
tt0156807,Yahoo Serious,"Yahoo Serious, David Roach",4.3,1h 29min,A very clumsy man and his UFO-obsessed girlfriend discover a plan made by his boss to market eggs laced with nicotine.
tt0156841,John Schlesinger,Tom Ropelewski,4.7,1h 48min,
tt0157262,Allan A. Goldstein,"Alan Shearman, Vince Di Clemente, Francesco Lucente",3.5,1h 39min,
tt0156812,Jay Russell,"Willie Morris, Gail Gilchriest",7.0,1h 35min,
tt0156741,Dan Bootzin,"Dan Bootzin, Elizabeth Rivera Bootzin",4.9,1h 29min,
tt0156323,"Scott Alexander, Larry Karaszewski","Scott Alexander, Larry Karaszewski",5.6,1h 21min,"A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped."
tt0156757,John Forte,John Forte,5.9,1h 32min,A Catholic high-school student trying to perfect his soccer timing by practicing dance falls in love with his dance partner.
tt0158581,"Måns Herngren, Hannes Holm","Måns Herngren, Hannes Holm",5.4,1h 54min,A story of three sisters and parenthood.
tt0158622,Brian Levant,"William Hanna, Joseph Barbera, Deborah Kaplan",3.7,1h 30min,
tt0159371,Christopher Robin Hood,Christopher Robin Hood,7.3,1h 30min,"Rob's successful life is interrupted when he crosses paths with smart beautiful Leslie. After being suddenly and mistakenly arrested, Rob begins a city-wide search for the woman of his dreams unsure of her last name or where to find her."
tt0160710,Patrik-Ian Polk,Patrik-Ian Polk,6.9,1h 31min,"The tale of 4 gay African-American friends in L.A: shy, virginal photographer Marcus, outgoing Lothario Hill, hot-to-trot rich kid newbie Dante, and fabulous drag diva Crystal."
tt0160547,Michael Browning,Michael Browning,4.9,1h 32min,"A series of mishaps and misfortunes over $1 million in cash leads to murder, mayhem and greed."
tt0160403,Stephen Kessler,"Mike Wilkins, Stephen Kessler",5.9,1h 21min,A notorious B-movie director tries for a comeback by seeking out the film rights to the life story of a serial killer who wants his biography film to be a musical.
tt0159291,"Philip Charles Mac, Kenzie",Nestor Carbonell,4.8,1h 27min,"A famous Latin actor loses his wife and job but hopes he can still ride on his sitcom fame. However, when he appears at the grand opening of a Kmart, his dreams are dashed when most of his fans are stolen by a maniacal upstart pretty-boy."
