0,1,2,3,4,5
tt0113092,"David Douglas, Tim Douglas","David Douglas, Christopher Salazar",3.4,1h 40min,Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out leaving the new cities in ruins. It falls to a bunch of teens to bring peace to the colony - but will they?
tt0113086,Michael New,,6.8,2000,"Florentino is a young horseman and singer, a free spirit living in the open world without restrictions, in the Venezuelan plains. He confronts the devil in a duel of improvised verses. As time passes, these unspoilt plains start to change. Through Florentino's voice and actions, the plains cannot be conquered. Its culture defies the devil in the eternal fight between ... Leer todo"
tt0116748,Rakesh Roshan,"Sachin Bhowmick, Ravi Kapoor, Sagar Sarhadi",3.7,3h,"Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince... Leer todo"
tt0115874,Marcos Manhães Marins,Marcos Manhães Marins,,,Dirección
tt0116391,Mazhar Khan,,6.2,2h 47min,
tt0118694,Kar-Wai Wong,Kar-Wai Wong,8.1,1h 38min,
tt0118710,George Bazala,"George Bazala, Patrick Clarke",6.3,1h 36min,"A young Irishman enters the US illegally with his wayward friend Seamus. Landing in New York the pair start out with dreams of striking it rich but soon find themselves in dead-end jobs and drifting apart. As Seamus pursues various get-rich schemes, the more cautious Patrick finds himself devoting time to looking after Tom, an Irish author down on his luck, and courti... Leer todo"
tt0118852,Al Pacino,Ira Lewis,7.1,1h 39min,"Harry and Jake, two unsuccessful writers, spend a cathartic evening arguing about money, aesthetics, their friendship, and Harry's new manuscript."
tt0119866,Bruno Nuytten,Bruno Nuytten,5.4,1h 44min,"Faustine,now an adult ,wants to know all about her father's death;she learns he was once in love with a fifteen-year-old girl ,Alice ."
tt0119495,Adrian Fulle,"Adrian Fulle, David J. Miller, Daniel Bingley",5.0,1h 26min,"A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?"
tt0119966,Dorian Ramírez,Dorian Ramírez,6.6,1h 15min,Dirección
tt0120202,David Mamet,David Mamet,6.7,1h 45min,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.
tt0120467,Bryan Johnson,Bryan Johnson,5.2,1h 27min,A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.
tt0123003,"Shirley Mac, Laine",David Ciminello,6.0,1h 48min,
tt0122161,Kikuo Kawasaki,Kikuo Kawasaki,4.9,1h 39min,"The entangled stories around the life of Elsie Taryn Townsendz, who becomes rich from being a country town's girl."
tt0120117,N. Chandra,"N. Chandra, Rajeev Kaul, Praful Parekh",4.7,2h 40min,"Filled with vengeance, a simple man turns into a hardcore criminal in order to avenge the destruction of his family."
tt0120626,Maria de Medeiros,Maria de MedeirosÈve Deboise,7.1,2h 3min,
tt0120263,Roy Andersson,Roy Andersson,7.5,1h 38min,
tt0120753,Wim Wenders,"Nicholas Klein, Bono",5.7,2h 2min,
tt0120630,"Peter Lord, Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick",7.1,1h 24min,
tt0120698,Keoni Waxman,Richard Beattie,4.4,1h 34min,"A dark, comedic thriller about fraud, bank robbers, and a search for love."
tt0122459,Bonnie Hunt,"Bonnie Hunt, Don Lake, Andrew Stern",6.9,1h 55min,A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.
tt0127349,Keith Gordon,"Scott Spencer, Robert Dillon",6.4,1h 45min,"A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge."
tt0130623,"Eric Leighton, Ralph Zondag","Thom Enriquez, John Harrison, Robert Nelson Jacobs",6.4,1h 22min,
tt0134630,Bruce Paltrow,John Byrum,6.1,1h 52min,"A professional karaoke hustler reconnects with his daughter and a bored suburban businessman turns outlaw karaoke singer, among other plotlines."
tt0133752,Ron Cosentino,Ron Cosentino,6.5,1h 40min,"Transplanted from New York, Duke and his brother Frankie Romano live in a rundown LA apartment with their alcoholic mother (Karen Black)."
tt0135707,Tom Shell,"Nicholas Wilson, Elizabeth Hansen",6.3,1h 37min,The 1854 Wyoming historical drama is based on Tom Shell's adaptation of the true life memoirs of Pony Express rider Nick Wilson.
tt0138353,Adrian Pasdar,Justin Monjo,5.7,1h 37min,"What's the bond between partners, between brothers, and between spouses? In L.A., Bill Holt handcuffs Sean Rickhart inside a rebar frame for a freeway pillar at a construction site; Bill's going to bury Sean in quick-drying cement. Guided by the narration of Nin, Bill's coke-snorting partner, we go back and forth over the past 48 hours to find out what brings Bill and... Leer todo"
tt0138927,Barry Berman,Barry Berman,6.5,1h 35min,A mother flees to her hometown after her son gets into trouble.
tt0138655,Ayanna Floyd,Ayanna Floyd,,,An unhappy country music disc jockey's life changes when she meets a man in a convenience store.
tt0138946,James Gray,"James Gray, Matt Reeves",6.4,1h 55min,
tt0138818,Douglas Green,Mitch Giannunzio,6.5,1h 37min,"A son visits his aging mother and sees tragic, intermittent signs of senility, but she pleads with him not to send her to a sanitarium."
tt0139500,Pedro Costa,,7.0,2h 51min,
tt0141399,Andrew Bergman,"Michael Korda, Paul Rudnick",5.3,1h 35min,"Bette Midler and Nathan Lane star in this comedy about Jacqueline Susann, the ambitious woman of dubious talent who wrote Valley of the Dolls, a best-selling novel that became a sensation."
tt0143344,Lorenzo Doumani,"Lorenzo Doumani, Mark Stevens",4.1,1h 39min,"Inspired by her father, a former boxer whose family duties superseded his athletic ambitions, a young woman (Sophia Adella Hernandez) decides to enter the sport."
tt0144142,Lisa Krueger,Lisa Krueger,5.1,1h 38min,A young woman goes in search of her midlife crisis suffering husband who left her.
tt0144084,Mary Harron,"Bret Easton Ellis, Mary Harron, Guinevere Turner",7.6,1h 42min,
tt0142155,Christopher Gotschall,,6.0,21min,"Jamie, an aspiring photographer and clumsy romantic, falls for his friend William, a pre-med student who's involved in a long-term relationship with an older man. Shared dance lessons and shared wine lead to shared beds. William wants Jamie but won't leave his partner. Confronting William and confronted by William's partner, Jamie begins to sort out the difference bet... Leer todo"
tt0144613,"Sebastián Lelio, Marialy Rivas","Sebastián Lelio, Marialy Rivas",,,"Technoculture and social restrictions, in Santiago de Chile, at the end of the millenium."
tt0146309,Roger Donaldson,"David Self, Ernest R. May, Philip D. Zelikow",7.3,2h 25min,
tt0146882,Stephen Frears,"Nick Hornby, D.V. De, Vincentis, Steve Pink",7.4,1h 53min,
tt0146984,Robert Redford,"Steven Pressfield, Jeremy Leven",6.7,2h 6min,
tt0148421,Martin Davidson,"Jeffrey Goldenberg, Robert Held, Martin Davidson",6.6,1h 37min,The lead singer of an oldies group reminisces about the good ol' days and a potential comeback.
tt0149624,Billy Bob Thornton,"Cormac Mc, Carthy, Ted Tally",5.8,1h 56min,
tt0149367,Marek Kanievska,"E. Max Frye, Topper Lilien, Carroll Cartwright",6.3,1h 29min,
tt0151150,Mansoor Khan,"Aatish Kapadia, Mansoor Khan, Nidhi Tuli",6.1,2h 42min,"Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother."
tt0153012,L.P. Brown IIIJohn Sjogren,L.P. Brown III,4.0,1h 24min,Jack (an ex P.I.) steals a briefcase from local mobsters. A stripper joins him on the run. Other local mob groups are also interested in the contents of the briefcase.
tt0153100,Francis Delia,"Francis Delia, Norman Mailer",7.2,1h 33min,"A thirty-something Irish-American former matador teaches a bull-fighting class in Greenwich Village. After the sexual conquest of a number of his female students, he meets his match in a 19-year-old co-ed."
tt0153464,Philip Haas,"W. Somerset Maugham, Belinda Haas",6.0,1h 55min,"A widow finds choosing a new husband might not be her choice at all, as the actions of her various prospects confine her freedom."
tt0155723,Katherine Dieckmann,"Katherine Dieckmann, Leon Rooke",6.8,1h 27min,"A young loner wandering the back roads of North Carolina comes across an abandoned baby. He immediately starts seeking the baby's parents, but starts developing a bond with the child that explores his own isolated roots."
tt0155754,Bob Clark,Mark Sanderson,6.3,1h 30min,
tt0155150,Adele Bertei,James Campbell,4.8,1h 39min,"After a rich woman dies, her friends and relatives meet at her mansion to await the reading of her will. Over the evening, many of them hook up and have a passionate night together, including the maid. But someone's watching them."
tt0157202,Glenn Klinker,Glenn Klinker,4.8,1h 30min,"A deranged street person has flashes of sanity, and his outrage at, and disgust for, the nightly news body count inspires him to vanquish not only his inner demons, but also the very real ones that are preying, unchecked upon the innocent."
tt0156841,John Schlesinger,Tom Ropelewski,4.7,1h 48min,
tt0156942,Ron Krauss,"Oona Croese, Ron Krauss, Mario Zavala",5.4,1h 25min,Kids go to a rave and not all of them make it home the next day.
tt0156812,Jay Russell,"Willie Morris, Gail Gilchriest",7.0,1h 35min,
tt0156757,John Forte,John Forte,5.9,1h 32min,A Catholic high-school student trying to perfect his soccer timing by practicing dance falls in love with his dance partner.
tt0157122,Liv Ullmann,Ingmar Bergman,7.4,2h 34min,
tt0158033,Pat Murphy,"Brenda Maddox, Pat Murphy, Gerard Stembridge",5.9,1h 46min,"Dublin, 1904, James Joyce chats up Nora Barnacle, a hotel maid recently come from Galway. She enchants him with her frank, uninhibited manner, and before long, he's convinced her to come with him to Trieste."
