0,1
tt0271337,14%
tt0271444,14%
tt0274166,14%
tt0274523,14%
tt0278422,14%
tt0275692,52%
tt0277171,40%
tt0282667,53%
tt0283426,18%
tt0282141,18%
tt0282718,18%
tt0282543,35%
tt0284163,35%
tt0281707,35%
tt0284674,54%
tt0285209,54%
tt0285327,54%
tt0285156,53%
tt0286788,36%
tt0287086,36%
tt0286244,94%
tt0286947,20%
tt0288244,20%
tt0288045,17%
tt0289889,57%
tt0291001,57%
tt0292527,40%
tt0290831,40%
tt0291542,40%
tt0291993,40%
tt0293452,40%
tt0294412,20%
tt0293672,43%
tt0295159,43%
tt0295182,43%
tt0295711,74%
tt0295289,74%
tt0295721,51%
tt0298482,40%
tt0296037,31%
tt0296245,31%
tt0295718,58%
tt0298737, 6%
tt0299045, 6%
tt0298089,",1%"
tt0297871,",1%"
tt0299859,",1%"
tt0299930, 6%
tt0300069,40%
tt0300634,40%
tt0300471,66%
tt0301357,91%
tt0301417,62%
tt0301181,43%
tt0300968, 0%
tt0302361,67%
tt0302297,67%
tt0302886,60%
tt0303146,60%
tt0304906,60%
tt0303251,79%
tt0304912,91%
tt0304056,91%
tt0305206,94%
tt0305178,91%
tt0305574, 0%
tt0305224,42%
tt0303898,42%
tt0305357,41%
tt0305583,46%
tt0305568,14%
tt0306047,35%
tt0304638,79%
tt0306040,79%
tt0304601,79%
tt0305565,79%
tt0305556,72%
tt0305711,20%
tt0305669,34%
tt0306174,40%
tt0305999,56%
tt0306110,56%
tt0306629,56%
tt0306734,36%
tt0306228,69%
tt0306841,40%
tt0307377,40%
tt0308443,40%
tt0311141,85%
tt0308878,64%
tt0307919,60%
tt0311110,29%
tt0311289,29%
tt0309817,17%
tt0307987,78%
tt0309916,33%
tt0309530,60%
tt0310778,77%
tt0310924,33%
tt0310741,75%
tt0309372,67%
tt0310230,67%
tt0311648,84%
tt0311863,23%
tt0310203,80%
tt0310281,87%
tt0312409,77%
tt0314786,97%
tt0314502,65%
tt0313911,65%
tt0312528,10%
tt0314080,10%
tt0314416,40%
