id_film,Direccion,Guion,Puntuacion_IMDB,Puntuacion_Rottem,Duracion,Argumento
tt0485535,Lalji B. Yadav,K.K. Gupta,5.3,61%,2h 16min,Dirección
tt0772175,John Charles Hunt,John Charles Hunt,5.8,61%,1h 40min,"A suburban woman witnesses her husbands murder, and decides to seek revenge in a 24 hr period. Along the way, Polly O'Bannon finds others who share her taste for revenge in the Pinelands of South Jersey."
tt0829150,Gary Shore,"Matt Sazama, Burk Sharpless, Bram Stoker",6.2,61%,1h 32min,
tt0831387,Gareth Edwards,"Ishirô Honda, Takeo Murata, Shigeru Kayama",6.4,76%,2h 3min,
tt0835775,Tristan Patterson,"Timothy Ford, Tristan Patterson",4.6,76%,1h 35min,A chronicle of the life of furniture salesman turned bank robber Eddie Dodson.
tt0862748,Ryûhei Kitamura,"Monkey Punch, Mataichirô Yamamoto, Ryûhei Kitamura",5.5,76%,2h 13min,
tt10037642,"Daris D. Mc, Kinney","Daris D. Mc, Kinney",,76%,,"A story of a special forces marksman conversion to home life as a Detective, he is being track down by mask men. We will view his tactics to survive this gunfight. (This video is exclusively dariSSight Entertainment iPhone Short Film)."
tt10120820,Jared Dunbar,Jared Dunbar,,76%,,"A man is under pressure to retrieve lost diamonds from his mobster boss and will stop at nothing until he achieves his goal, taking out anyone that gets in his way."
tt10137664,Luka Sokota,"Luka Sokota, Stjepan Zelic, Karlo Masnjak",,76%,,Dirección
tt10182550,Phan Minh,,4.3,76%,1h 39min,Dirección
tt10186876,Tiankuo Gong,"Tiankuo Gong, Yihui Huang",,39%,,Dirección
tt10391920,Reuben Muldrock,,,39%,,Dirección
tt10417622,Nabwana I.G.G.,"Alan Hofmanis, Nabwana I.G.G.",7.3,39%,1h 22min,"After a commando's daughter is kidnapped by the Tiger Mafia, he goes insane and starts a quest to stop the kidnappings with the father of another kidnapped child."
tt10427506,Vlad Rimburg,Vlad Rimburg,,39%,,Dirección
tt10431116,Guilherme Abud,Guilherme Abud,,39%,,Dirección
tt1043726,Renny Harlin,"Sean Hood, Daniel Giat, Renny Harlin",4.2, 5%,1h 39min,
tt10438616,Febrian Andhika,"Moh. Azry, Agustinus Dwi Nugroho",, 5%,,"Azri is a good 7-year-old boy who loves helping his friends at school. Azri is the only child from a simple family. His father was a doctor who was stationed outside the island while his mother was a tailor. During the school holiday, Azri once watched a superhero movie on television and he was obsessed to become a superhero. Eagerly he made a simple costume of robes ... Leer todo"
tt10450812,Christopher Baum,Christopher Baum,,84%,,A contract killer murders his partner's attractive new girlfriend after believing they have ties to his brother's death.
tt10526714,Mamat Khalid,Mamat Khalid,6.6,84%,1h 37min,"Amir and Loqman, two lowly criminals who are just not cut out for the life of crime, resort to trying their hands at robbing money changers upon learning that they must pay a whopping RM30,000 to exit the 'Brotherhood' they once so badly wanted to join. They now want only one thing - to set up a cafe by the sea and to spend the rest of their days serving drink to beau... Leer todo"
tt10613286,Jacob Riehle,"Radomir Jordanovic, Jacob Riehle",,85%,,Dirección
tt1085492,Brian A. Miller,"Andre Fabrizio, Jeremy Passmore",4.6,85%,1h 33min,
tt3564806,"Leon Ding, Fuyuan Liu, Paulette Victor Lifton","Brian Bullock, Tiechi Cui, Que Dai",4.6,85%,1h 35min,"The story starts when two boxes are switched mistakenly during a car accident, in the middle of a stormy night. Logger Vick retrieves a suitcase from the scene of the accident and reveals what is inside. Since he brings back this mysterious box, the forest is no longer peaceful and the Bear Brother's lives change dramatically. Vick and the Bear Brothers become super d... Leer todo"
tt0369610,Colin Trevorrow,"Rick Jaffa, Amanda Silver, Colin Trevorrow",6.9,85%,2h 4min,
tt0478970,Peyton Reed,"Edgar Wright, Joe Cornish, Adam Mc, Kay",7.2,85%,1h 57min,
tt10004934,Patrick Willems,Patrick Willems,,85%,,A Moviegoer kills an annoying moviegoer.
tt10054954,Yunhao Zhang,Yunhao Zhang,,85%,,Dirección
tt10080132,Matthew Silva,"Aniel Rios, Matthew Silva",,85%,,Dirección
tt10080156,Matthew Silva,"Aniel Rios, Matthew Silva",,85%,,Dirección
tt10080114,Maria Robles,Maria Robles,,85%,,Dirección
tt10085492,Billy Butler,Billy Butler,,85%,,A post-apocalyptic anthology web-series following the story of two best friends on their daring survival journey in a wasteland littered with the undead.
tt10118134,Ly Hai,,5.4,85%,1h 38min,"When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance."
tt10168674,Samit L. Baadkar,,,85%,,Dirección
tt10188570,"Aline Guimarães, Dandara Guerra","Thalita Carauta, Aline Guimarães, Anna Righi",,85%,,Dirección
tt10217308,Juanjo Martínez,Juanjo Martínez,,85%,,A Team of former mercenaries now in charge of national security faces a band involved in organ traffic.
tt10234208,Mario Xavier,,5.2,85%,6min,"Dr. Beck Jenkins, a Sharkologist, notices sharks acting strangely. He decides to investigate their behaviour, but something seems to suggest a World War Two science experiment may be involved."
tt10270254,Xlson137,"Vitaly Grinevich, Xlson137",,85%,,Dirección
tt10270232,Xlson137,Xlson137,,85%,,Dirección
tt10284978,Aris Koulaidis,Aris Koulaidis,,85%,,Dirección
tt0315642,Bejoy Nambiar,"Vidhu Vinod Chopra, Abhijat Joshi, Bejoy Nambiar",7.1,85%,1h 43min,A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.
tt0364201,Kader Kashmiri,Kader Kashmiri,7.1,85%,2h 17min,A police officer enlists help of a dancer and a jailed comrade to stop an evil mastermind to destroy India apart.
tt0775440,Tod Williams,"Stephen King, Adam Alleca",4.4,85%,1h 38min,
tt0803096,Duncan Jones,"Charles Leavitt, Duncan Jones",6.7,29%,2h 3min,
tt0825283,Jay Martin,"James Patterson, Angelique Hanus, Jesse Spears",3.6,37%,1h 28min,
tt0918940,David Yates,"Adam Cozad, Craig Brewer, Edgar Rice Burroughs",6.2,35%,1h 50min,
tt10022870,,Larry J. Jacobson,8.5,35%,2016,A title for testing IMDbPro Stay informed features.
tt10043828,Sewi Ryu,Sewi Ryu,,35%,,Dirección
tt10067210,Jesper Isaksen,Jesper Isaksen,,35%,,"An old car carrying the Danish rock n' roll band 11th Street Kids is breaking down in the middle of nowhere. They seek help on a nearby farm inhabited by an old Indian and his daughter. At first everything seems fairly normal, but the band soon find themselves enrolled in a mysterious adventure, where they are haunted by wolves and the fierce and warrior like Indian d... Leer todo"
tt10079660,Victor Garcia,,,35%,,Dirección
tt10091376,Maxime Scharwath,,,35%,,Dirección
tt10104138,Pablo Martínez,,,35%,,Dirección
tt10102292,Premashu Singh,Manoj Kushwaha,,35%,,Dirección
tt10121012,Carlos Burley,Carlos Burley,,35%,,"Aiza is a hit-woman, hired by the worlds most elite criminals, but she is requested to do a job that she refuses to do and is ultimately set-up by the one person she least expected it from. That's when everything falls apart."
tt10139018,Evis Nako,Evis Nako,,35%,,Dirección
tt10204230,Jaro Jääskeläinen,Jaro Jääskeläinen,,35%,,"The sins of the past return to haunt the man's life as his girlfriend is suddenly taken away in the middle of a beautiful summer day. As the life of the woman he loves is at stake, the man has no other choice but to return - for one last time - to his former employer's service. (a.k.a. The Last Mission: REDAX)"
tt10219512,Michael Chuah,,5.2,35%,1h 28min,Dirección
tt10218440,Nitesh Pawar,"Deepak Angewar, Nitesh Pawar, Hemant Salve",,35%,,the lives of two rich children who lose their ways and end up commiting a serious offense while having fun.
tt10222594,Roy Krishnan,Epy Kodiang,3.4,35%,1h 40min,"Amir, Rosham and Megat are best friends and each of them has big dreams. But things turn upside down when one of them finds a jewelry box that belongs to mafias King and Kong. Their lives are threatened when they become the target of the mafias who want their jewelry back."
tt10230276,Toto Natividad,"Toto Natividad, Willy Laconsay, Michael Bernaldez",,35%,,"A father learns that his teenage son is heading down to the same path he treaded. In order to stop his son from being a criminal, he returns to his old ways so that his son may live."
tt10268538,Xlson137,Xlson137,,35%,,Dirección
tt10288116,James Bradford Huston,,,35%,,A cop avenges his murdered partner and avoids death by killing death.
tt10329546,Charles Gozali,"Thjai Edwin, Charles Gozali, Hilman Hariwijaya",7.7,35%,1h 46min,"Bisma, a teenager with natural martial arts talent, has a crush on Bella, a girl at his college. But her boyfriend, Attar, always annoys Bhishma, until a mysterious man trains him to fight back."
tt10344974,Jeremy Eisener,,,35%,,Dirección
tt10353562,Shailesh Leuva,Shain Leuva,,35%,,Dirección
tt10413708,"Julien Turner, Justen Turner",Julien Turner,,35%,,"After witnessing the shooting of a loved one on the streets, a young African-American vigilante is born."
tt10417584,Nabwana I.G.G.,Nabwana I.G.G.,,35%,,Dirección
tt10417656,Nabwana I.G.G.,Nabwana I.G.G.,8.2,35%,1h 32min,Dirección
tt10417644,Nabwana I.G.G.,Nabwana I.G.G.,8.8,35%,1h 19min,Solider Allan is forced to destroy a forest in order so save his family. He then try's to bring the people responsible for his family's capture to justice.
