id_film,Direccion,Guion,Puntuacion_IMDB,Puntuacion_Rottem,Duracion,Argumento
tt0147486,Tom Putnam,"Michael S. Harbour, Jeff Malmberg, Tom Putnam",4.1,67%,1h 30min,"Steven Byzinsky is convinced he's a blaxploitation superhero. Like Shaft, Dolemite and Black Belt Jones before him, he's keeping' the streets safe for the brother and trying to stay one step ahead of The Man. There's only one problem: Steven's white."
tt0160127,"Mc, G","Ryan Rowe, Ed Solomon, John August",5.6,16%,1h 38min,
tt0168504,Scott Wiper,Scott Wiper,5.6,37%,1h 41min,A Chicago cop quits the force and finds himself threatened by the Mafia.
tt0179987,Nicolas Wadimoff,"Nicolas Wadimoff, Moussa Maaskri, Louis Bélanger",6.1, 0%,1h 40min,"Une station-service au bord de l'autoroute. Abdou, jeune fugueur, se lie d'amitié avec Georges, le pompiste Arabe. Georges profite d'une ultime et violente dispute avec son patron pour plaquer son boulot et accompagner le petit Abdou jusqu'à Marseille. L'enfant souhaite y voir un match de la coupe du monde de football. La tête pleine de rêves et les poches vides, ils ... Leer todo"
tt0181836,Craig Mazin,James Gunn,5.7,47%,1h 22min,The sixth or seventh best superhero team in the world pursue their rightful place in the harshly competitive world of toy tie-ins and fighting evil.
tt0183869,Gérard Krawczyk,Luc Besson,6.5,70%,1h 28min,
tt0184894,Tom Dey,"Miles Millar, Alfred Gough",6.6,80%,1h 50min,
tt0193701,Vinny Murphy,"Vinny Murphy, Mark Stewart",6.2,49%,1h 26min,A Belfast man who steals cars for a living dreams of retiring to Barcelona. Suddenly he finds himself in conflict with a crazed gangster who desires the first man's girlfriend. The two decide to settle the situation with a race with 12 of their friends. They just need to steal the cars for the race.
tt0208003,Raja Gosnell,"Darryl Quarles, Don Rhymer",5.2,30%,1h 39min,
tt0212346,Donald Petrie,"Marc Lawrence, Katie Ford, Caryn Lucas",6.3,41%,1h 49min,
tt0211938,Antoine Fuqua,"Andrew Scheinman, Adam Scheinman, Tony Gilroy",5.7,26%,1h 59min,
tt0212879,Lloyd Kaufman,"Trent Haaga, Patrick Cassidy, Gabriel Friedman",5.9,60%,1h 49min,
tt0221197,Christopher Coppola,"Richard L. Albert, Mike Allred, Robert Cooper",4.4,18%,1h 38min,"Two G-Men, returning from hell, must perform good deeds to save themselves from a doomed fate."
tt0150021,James Keach,"Billy Bob Thornton, Tom Epperson, Karl Schanzer",4.5,20%,1h 38min,An actor discovers the dark side of private investigating when he takes on an assignment in rural Oregon with a crusty P.I.
tt0163764,Kenny Griswold,"Kenny Griswold, Bill Kerig",5.9,49%,1h 34min,Net Worth details the serio-comic story of four friends who learn the value of friendship as they embark on a thirty day contest to achieve the highest net worth in a new city with no cash and no connections.
tt0181739,"Bobby Farrelly, Peter Farrelly",Marc Hyman,6.3,56%,1h 35min,
tt0193364,Sheldon Lettich,"Les Weldon, Jean-Claude Van Damme",4.6,13%,1h 29min,
tt0201694,Lionel C. Martin,"Tony De, Camillis, Louis J. Pearlman",2.6,50%,1h 33min,A twenty-something tennis instructor/gigolo gets embroiled in a scheme involving seduction and insider trading.
tt0207198,Gregor Schnitzler,"Stefan Dähnert, Anne Wild",6.7,50%,1h 41min,"6 anarchists place a time bomb in a West Berlin building in 1987. It's a dud. It blows up in 2000. Only 2 remain anarchists. How can the 6 steal evidence from a police ""fortress"" and avoid 8 years prison?"
tt0212867,Darin Ferriola,Darin Ferriola,4.8,35%,1h 45min,"Two thieves down on their luck get hired to steal the Rock of Lazarus, an ancient relic capable of returning evil souls to earth."
tt0219179,Ashby Richardson,Ashby Richardson,7.2,65%,18min,Dirección
tt0227194,Shashilal K. Nair,"Sanjay Chhel, Raaj Kumar Dahima, Manoj Lalwani",5.5,43%,2h 49min,"When a cop's partner is killed in the line of duty, he assumed guardianship of his orphaned children while investigating the murder."
tt0227984,Ronny Yu,Stel Pavlou,6.3,25%,1h 33min,
tt0227538,Robert Rodriguez,Robert Rodriguez,5.6,93%,1h 28min,
tt0231402,Simon Wincer,"Paul Hogan, Matthew Berry, Eric Abrams",4.8,11%,1h 35min,"Australian Outback adventurer Mick ""Crocodile"" Dundee travels to Los Angeles with his young son while his longtime companion suspects foul play at a movie studio."
tt0233142,Demian Lichtenstein,"Richard Recco, Demian Lichtenstein, Kevin Bernhardt",6.0,54%,2h 5min,
tt0238948,George Gallo,"Graham Greene, Guy Elmes, Denis Freeman",5.4,12%,1h 28min,
tt0239395,Lawrence Guterman,"John Requa, Glenn Ficarra",5.1,53%,1h 27min,
tt0245891,Eric Hannah,"Eric Hannah, Craig Detweiler",5.7,43%,1h 33min,"As four lifelong friends, Will, Bryan, Matt, and Corey, are on the road trip they've been planning their whole lives, Corey's beloved grandfather unexpectedly dies. When going to claim Corey's inheritance, the gang meets Matt's beautiful cousin Jessie and embark on a hilarious, extreme sports-filled adventure."
tt0246500,Chris Ver Wiel,Chris Ver Wiel,6.3,23%,1h 32min,"This is a comedy about mistaken identities, a hitman who sees everything in terms of the movies, and a twenty-year-old diamond heist."
tt0246438,"Thomas Jahn, Til Schweiger",Jürg Brändli,5.1,23%,1h 35min,Four buddies and wannabee crooks fails a drug deal. The drug lord is not pleased. He gives them five days to raise the lost money.
