0,1
tt0113092,60%
tt0116391,60%
tt0116628,60%
tt0119273, 8%
tt0120755, 8%
tt0120913,50%
tt0120903,82%
tt0132910,18%
tt0134847,59%
tt0141926,68%
tt0143344,68%
tt0144964,11%
tt0144608,40%
tt0147486,67%
tt0151150,51%
tt0157202,51%
tt0160009,16%
tt0160127,16%
tt0162650,16%
tt0164052,26%
tt0165642,81%
tt0165400,38%
tt0165929,32%
tt0167367,33%
tt0168714,/10
tt0168504,37%
tt0170452,20%
tt0172495,20%
tt0172109,/10
tt0172464,/10
tt0176650,20%
tt0176579, 0%
tt0177971,46%
tt0179183, 0%
tt0179987, 0%
tt0179861,20%
tt0183280,20%
tt0181836,47%
tt0183869,70%
tt0184858,25%
tt0184894,80%
tt0184457,50%
tt0186566,50%
tt0187393,50%
tt0187750,36%
tt0185183,36%
tt0187078,25%
tt0186454, 0%
tt0190374, 9%
tt0190524,16%
tt0190332,98%
tt0192614, 9%
tt0190865,49%
tt0194104,49%
tt0193701,49%
tt0195944,49%
tt0195308,49%
tt0196614,49%
tt0196219,95%
tt0197072, 0%
tt0197951, 0%
tt0197299,81%
tt0197104,81%
tt0199753,14%
tt0199748,14%
tt0202314, 5%
tt0203835,20%
tt0203053,20%
tt0202677,46%
tt0205729,46%
tt0208198,/10
tt0207299,/10
tt0207377,/10
tt0208988,11%
tt0207631,47%
tt0208037,21%
tt0207501,37%
tt0208003,30%
tt0213127,30%
tt0212346,41%
tt0211938,26%
tt0212879,60%
tt0213690,60%
tt0214638,60%
tt0214728,60%
tt0214871,89%
tt0215715,82%
tt0216216,40%
tt0216750,40%
tt0216651,70%
tt0216772,10%
tt0217654, 8%
tt0216926, 8%
tt0218080,26%
tt0219653,17%
tt0218641,17%
tt0218533,56%
tt0219640,12%
tt0221197,18%
tt0220596,38%
tt0222020, 0%
tt0227200,25%
tt0226238,87%
tt0228750,39%
tt0229362,59%
tt0230049,78%
tt0230055,11%
tt0231956,33%
tt0232079,13%
tt0233764,13%
tt0233656,23%
tt0234000,80%
tt0235485,/10
tt0235679,20%
tt0233910,20%
