0,1
tt0313724,62%
tt0314353,62%
tt0314121,46%
tt0314006,41%
tt0315604,/10
tt0316062,/10
tt0316356,79%
tt0316665,79%
tt0317740,79%
tt0317676, 3%
tt0318020, 3%
tt0318281, 0%
tt0320691,31%
tt0321997,19%
tt0322259,37%
tt0322651,21%
tt0322807,21%
tt0323551,/10
tt0325980,/10
tt0326769,22%
tt0326208,73%
tt0327409,16%
tt0325703,24%
tt0325710,66%
tt0327115,66%
tt0327116,71%
tt0328500,71%
tt0327850,22%
tt0327754, 0%
tt0329101, 0%
tt0329717,30%
tt0330622,72%
tt0329216,32%
tt0328868,59%
tt0330540,/10
tt0330896,50%
tt0330802,79%
tt0334075,00%
tt0337998,00%
tt0337930,46%
tt0337626,36%
tt0337945,36%
tt0338477,27%
tt0337857,86%
tt0337688,86%
tt0339834,86%
tt0337953,42%
tt0339824,34%
tt0339091,75%
tt0340178,75%
tt0313724,62%
tt0314353,62%
tt0314121,46%
tt0314006,41%
tt0315604,/10
tt0316062,/10
tt0316356,79%
tt0316665,79%
tt0317740,79%
tt0317676, 3%
tt0318020, 3%
tt0318281, 0%
tt0320691,31%
tt0321997,19%
tt0322259,37%
tt0322651,21%
tt0322807,21%
tt0323551,/10
tt0325980,/10
tt0326769,22%
tt0326208,73%
tt0327409,16%
tt0325703,24%
tt0325710,66%
tt0327115,66%
tt0327116,71%
tt0328500,71%
tt0327850,22%
tt0327754, 0%
tt0329101, 0%
tt0329717,30%
tt0330622,72%
tt0329216,32%
tt0328868,59%
tt0330540,/10
tt0330896,50%
tt0330802,79%
tt0334075,00%
tt0337998,00%
tt0337930,46%
tt0337626,36%
tt0337945,36%
tt0338477,27%
tt0337857,86%
tt0337688,86%
tt0339834,86%
tt0337953,42%
tt0339824,34%
tt0339091,75%
tt0340178,75%
tt0339144,75%
tt0340122,75%
tt0337943,12%
tt0339135,53%
tt0338280,84%
tt0339230,80%
tt0339840,33%
tt0339714,44%
tt0339111,60%
tt0338337,27%
tt0338459,45%
tt0338763,27%
tt0340110,62%
tt0339534,71%
tt0342561,50%
tt0344313,50%
tt0345937,50%
tt0342916,43%
tt0345043,43%
tt0345550,43%
tt0345636,12%
tt0347167,50%
tt0347006,63%
tt0348364,67%
tt0348088,67%
tt0347439,24%
tt0348656,45%
tt0348551,45%
tt0348521,45%
tt0348354,30%
tt0347685,30%
tt0349575,43%
tt0349248,43%
tt0349221,34%
tt0350936,49%
tt0349663, 8%
tt0350934,89%
tt0351795,29%
tt0350948,84%
tt0352217,84%
tt0352376,84%
tt0353848,84%
tt0353014,53%
tt0351887,54%
tt0353962,54%
tt0354538,60%
tt0355650,39%
tt0355580,39%
tt0356764,39%
tt0357991,/10
tt0358146,/10
tt0357247,93%
tt0356614,63%
tt0356867,63%
tt0356577,63%
tt0358474,63%
tt0358613,63%
tt0359225,22%
tt0359005,22%
tt0361037,22%
tt0360921,24%
tt0360821,24%
tt0360651,54%
tt0359564,54%
tt0362204,50%
tt0362417,75%
tt0360219,75%
tt0360487,/10
tt0361682,/10
tt0362502,/10
tt0363226,87%
tt0362820,60%
tt0363079,40%
tt0362548,64%
tt0362893,65%
tt0363427,65%
tt0363833,25%
tt0364621,36%
tt0363211,31%
tt0364569,31%
tt0364727,31%
tt0366291,31%
tt0364447,59%
tt0365443,38%
tt0365510,38%
tt0365609,38%
tt0365514,78%
tt0365385,52%
tt0366276,22%
tt0367136,69%
tt0367640,43%
tt0365200,43%
tt0364990,43%
tt0365800,43%
tt0366720,43%
tt0366526,80%
tt0368331,14%
tt0366178,14%
tt0366703,86%
tt0366874,86%
tt0366880,86%
tt0368376,86%
tt0366630,33%
tt0366840,83%
tt0367602,83%
tt0367657,83%
tt0367960,13%
tt0367878,70%
tt0368811,70%
tt0369060,94%
tt0369621,00%
tt0368909,85%
tt0370402,48%
tt0368855,68%
tt0368896,68%
tt0369221,68%
tt0369795,68%
tt0369267,/10
tt0371313,71%
tt0370459,71%
tt0370039,86%
tt0372163,86%
tt0371775,29%
tt0371937,20%
tt0373219,20%
tt0373088,20%
tt0372937,57%
tt0373283,66%
tt0373727,66%
tt0373400,66%
tt0373764,66%
tt0373970,66%
tt0374124,45%
tt0373856,76%
tt0374273,21%
tt0374330,68%
tt0374345,84%
tt0374526,84%
tt0374184,73%
tt0374271,73%
tt0131597,78%
tt0167456,19%
tt0167190,19%
tt0177882,73%
tt0187279,73%
tt0239235,73%
tt0244746,93%
tt0263939,57%
tt0264410,57%
tt0267379, 0%
tt0270841,35%
tt0285624,71%
tt0287733,57%
tt0290808,57%
tt0296572,57%
tt0297741,96%
tt0297012,96%
tt0305753,00%
tt0306892,48%
tt0308905,40%
tt0316654,40%
tt0316824,46%
tt0317648,46%
tt0316732, 9%
tt0317705,97%
tt0318627,97%
tt0319262,45%
tt0323013,85%
tt0325713,62%
tt0325950,76%
tt0327437,32%
tt0328107,39%
tt0327554,39%
tt0329099,57%
tt0329691,22%
tt0328993,35%
tt0330220,00%
tt0330793,00%
tt0331100,/10
tt0329703,/10
tt0337540,52%
tt0337103,45%
tt0337921,45%
tt0337917,13%
tt0338325,18%
tt0338526,24%
tt0339896,88%
tt0339147,13%
tt0343962,20%
tt0343818,56%
tt0345235,39%
tt0344777,73%
tt0346156,71%
tt0346491,16%
tt0347330,61%
tt0347591,31%
