tconst,ordering,nconst,category,job,characters
tt0113092,1,nm0001002,actor,\N,"[""Gen. Murran""]"
tt0113092,2,nm0001299,actor,\N,"[""Evans""]"
tt0113092,3,nm0923529,actor,\N,"[""Sutherland""]"
tt0113092,4,nm0936365,actress,\N,"[""Abel""]"
tt0116391,1,nm0006763,actor,\N,"[""Gangu""]"
tt0116391,2,nm0007113,actor,\N,"[""Abdul""]"
tt0116391,3,nm0310173,actor,\N,"[""Nihal Singh""]"
tt0116391,4,nm0412917,actor,\N,"[""Gary Rozario""]"
tt0116628,1,nm0719429,actor,\N,"[""Alan Freeling""]"
tt0116628,2,nm0646078,actor,\N,"[""Agent Burroughs Masterson""]"
tt0116628,3,nm0091327,actor,\N,"[""Agent Robert Skotak""]"
tt0116628,4,nm0822976,actress,\N,"[""Amanda Freeling""]"
tt0119273,1,nm0000461,actor,\N,"[""Tyler""]"
tt0119273,2,nm0001781,actress,\N,"[""Julie""]"
tt0119273,3,nm0002150,actor,\N,"[""Odin""]"
tt0119273,4,nm0463233,actor,\N,"[""Germain St-Germain""]"
tt0120755,1,nm0000129,actor,\N,"[""Ethan Hunt""]"
tt0120755,2,nm0779084,actor,\N,"[""Sean Ambrose""]"
tt0120755,3,nm0628601,actress,\N,"[""Nyah Hall""]"
tt0120755,4,nm0000609,actor,\N,"[""Luther Strickell""]"
tt0120913,1,nm0000354,actor,\N,"[""Cale""]"
tt0120913,2,nm0000106,actress,\N,"[""Akima""]"
tt0120913,3,nm0000597,actor,\N,"[""Korso""]"
tt0120913,4,nm0108028,actor,\N,"[""The Cook""]"
tt0120903,1,nm0001772,actor,\N,"[""Xavier""]"
tt0120903,2,nm0413168,actor,\N,"[""Logan"",""Wolverine""]"
tt0120903,3,nm0005212,actor,\N,"[""Magneto""]"
tt0120903,4,nm0000463,actress,\N,"[""Jean Grey""]"
tt0132910,1,nm0000379,actress,\N,"[""Erin Randall""]"
tt0132910,2,nm0040472,actor,\N,"[""Nathan Randall""]"
tt0132910,3,nm0266631,actress,\N,"[""Barbara Chen""]"
tt0132910,4,nm0531095,actor,\N,"[""Alex Corvis""]"
tt0134847,1,nm0593664,actress,\N,"[""Carolyn Fry""]"
tt0134847,2,nm0369513,actor,\N,"[""William J. Johns""]"
tt0134847,3,nm0004874,actor,\N,"[""Richard B. Riddick""]"
tt0134847,4,nm0202966,actor,\N,"[""Abu 'Imam' al-Walid""]"
tt0141926,1,nm0000190,actor,\N,"[""Tyler""]"
tt0141926,2,nm0000200,actor,\N,"[""Dahlgren""]"
tt0141926,3,nm0000172,actor,\N,"[""Chief""]"
