primaryName,birthYear,deathYear,primaryProfession,knownForTitles
Dean Cain,1966,\N,"actor,producer,writer","tt0106057,tt0250687,tt0313443,tt2528814"
Thomas Ian Griffith,1962,\N,"actor,producer,writer","tt0113313,tt0295701,tt0097647,tt0120877"
Justin Whalin,1974,\N,actor,"tt1161064,tt0190374,tt0111127,tt0103956"
Jodi Bianca Wise,1971,\N,actress,"tt8773420,tt0482571,tt10329028,tt0364845"
Jackie Shroff,1957,\N,"actor,soundtrack,producer","tt0114234,tt0238936,tt0248185,tt9095260"
Nana Patekar,1951,\N,"actor,music_department,director","tt0451631,tt0110280,tt0476884,tt0102701"
Kumar Gaurav,1956,\N,"actor,producer,assistant_director","tt0294662,tt0091598,tt0249986,tt0246286"
Jaaved Jaaferi,1960,\N,"actor,music_department,soundtrack","tt2905838,tt9531772,tt1187043,tt0456165"
John Reneaud,\N,\N,"actor,director,editor","tt8633156,tt8634678,tt1521820,tt12961560"
Ed Oldani,\N,\N,actor,"tt0093881,tt0116628,tt0097081,tt0069966"
Jeff Boerger,\N,\N,"actor,miscellaneous","tt0116628,tt6714928,tt0391044"
Paige Stapleton,\N,\N,"actress,make_up_department","tt0116628,tt15482848"
Michael Ironside,1950,\N,"actor,producer,writer","tt0100802,tt0120201,tt0081455,tt0092099"
Julie Strain,1962,2021,"actress,producer,director","tt0106922,tt0119273,tt0109254,tt0110622"
Billy Idol,1955,\N,"music_artist,soundtrack,actor","tt0108399,tt0120888,tt0098987,tt0111257"
Pier Paquette,\N,\N,actor,"tt0089409,tt0368794,tt1114721,tt0119273"
Tom Cruise,1962,\N,"actor,producer,soundtrack","tt0092099,tt0325710,tt0120755,tt0116695"
Dougray Scott,1965,\N,"actor,producer","tt1655420,tt0465494,tt0120631,tt0120755"
Thandiwe Newton,1972,\N,"actress,soundtrack,producer","tt0454921,tt0120755,tt0475784,tt0375679"
Ving Rhames,1959,\N,"actor,producer,writer","tt0110912,tt0163988,tt0317919,tt0120755"
Matt Damon,1970,\N,"producer,actor,soundtrack","tt0119217,tt3659388,tt0407887,tt0134119"
Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0160127,tt0343660,tt0120631,tt0151738"
