tconst,ordering,nconst,category,job,characters
tt0119495,1,nm0611295,actor,\N,"[""Andrew""]"
tt0119495,2,nm0177185,actress,\N,"[""Shayna""]"
tt0119495,3,nm0172416,actor,\N,"[""Joe""]"
tt0119495,4,nm0806173,actor,\N,"[""Tad""]"
tt0119806,1,nm0699037,actor,\N,"[""Darin""]"
tt0119806,2,nm0242295,actor,\N,"[""Matt""]"
tt0119806,3,nm0323020,actor,\N,"[""Kevin""]"
tt0119806,4,nm0206582,actress,\N,"[""Natalie""]"
tt0120202,1,nm0000450,actor,\N,"[""Joseph Turner White""]"
tt0120202,2,nm0000513,actor,\N,"[""Walt Price""]"
tt0120202,3,nm0682071,actress,\N,"[""Ann""]"
tt0120202,4,nm0383449,actor,\N,"[""Doc Wilson""]"
tt0123003,1,nm0513281,actor,\N,"[""Bruno Battaglia""]"
tt0123003,2,nm0000511,actress,\N,"[""Helen""]"
tt0123003,3,nm0000641,actor,\N,"[""Dino Battaglia""]"
tt0123003,4,nm0000725,actress,\N,"[""Donna Marie""]"
tt0120263,1,nm0635070,actor,\N,"[""Kalle""]"
tt0120263,2,nm0489281,actor,\N,"[""Stefan""]"
tt0120263,3,nm0138061,actor,\N,"[""Lennart""]"
tt0120263,4,nm0265229,actor,\N,"[""Pelle Wigert""]"
tt0123055,1,nm3611718,actor,\N,"[""Elmer""]"
tt0123055,2,nm0366106,actress,\N,"[""Jolie""]"
tt0123055,3,nm0542934,actor,\N,"[""Santa Claus""]"
tt0123055,4,nm0290886,actor,\N,"[""Rick""]"
tt0120630,1,nm0000154,actor,\N,"[""Rocky""]"
tt0120630,2,nm0768018,actress,\N,"[""Ginger""]"
tt0120630,3,nm0200057,actor,\N,"[""Fetcher""]"
tt0120630,4,nm0272521,actress,\N,"[""Mac""]"
tt0120698,1,nm0565569,actor,\N,"[""Frank Drake""]"
tt0120698,2,nm0364977,actress,\N,"[""Ziggy Watson""]"
tt0120698,3,nm0000594,actor,\N,"[""Breakfast""]"
tt0120698,4,nm0941315,actor,\N,"[""Walter""]"
tt0120917,1,nm0005450,actor,\N,"[""Kuzco""]"
tt0120917,2,nm0000422,actor,\N,"[""Pacha""]"
tt0120917,3,nm0457755,actress,\N,"[""Yzma""]"
tt0120917,4,nm0911320,actor,\N,"[""Kronk""]"
