primaryName,birthYear,deathYear,primaryProfession,knownForTitles
Michael Muhney,1975,\N,"actor,writer,producer","tt0112022,tt0069658,tt11316190,tt0412253"
Mary Kay Cook,\N,\N,"production_manager,actress,producer","tt14361892,tt9272514,tt8962124,tt24082454"
Jon Collins,\N,\N,"producer,miscellaneous,actor","tt2198870,tt13606226,tt4523638,tt0437741"
Jimmy Slonina,\N,\N,"actor,producer,director","tt13517162,tt0119495,tt5095830,tt7869774"
Paul Provenza,1957,\N,"actor,producer,writer","tt0436078,tt0098415,tt0098878,tt0200276"
Stephen Dunham,1964,2012,"actor,stunts","tt2109184,tt0120616,tt0425061,tt0369735"
John Gloria,\N,\N,"actor,writer,producer","tt7203552,tt6474378,tt5348176,tt8226360"
Shannon Day,\N,\N,"actress,miscellaneous","tt0120356,tt2945296,tt1740299,tt0101130"
Philip Seymour Hoffman,1967,2014,"actor,producer,soundtrack","tt0472062,tt1560747,tt0292963,tt0379725"
William H. Macy,1950,\N,"actor,writer,director","tt0116282,tt0118749,tt0175880,tt1586680"
Rebecca Pidgeon,1965,\N,"actress,soundtrack,composer","tt1245526,tt0155388,tt0120202,tt0252503"
Michael Higgins,1920,2008,"actor,soundtrack","tt0071360,tt0105327,tt0120202,tt0092563"
Alex D. Linz,1989,\N,actor,"tt0119303,tt0117247,tt0289765,tt0120855"
Shirley MacLaine,1934,\N,"actress,soundtrack,writer","tt0086425,tt0098384,tt0048750,tt0053604"
Gary Sinise,1955,\N,"actor,producer,director","tt0109830,tt0112384,tt0117438,tt0105046"
Joey Lauren Adams,1968,\N,"actress,soundtrack,director","tt0106677,tt0118842,tt0142342,tt2996684"
Lars Nordh,1936,\N,actor,"tt0120263,tt2287741,tt7019958,tt0295006"
Stefan Larsson,1964,\N,"actor,director,writer","tt0120263,tt1839506,tt6793198,tt8790670"
Bengt C.W. Carlsson,1948,\N,actor,"tt0120263,tt2602070,tt2070803,tt1568346"
Torbjörn Fahlström,1937,\N,actor,tt0120263
Sean Donnelly,\N,\N,actor,tt0123055
Margo Harshman,1986,\N,"actress,soundtrack","tt1232783,tt1083456,tt0435679,tt0206511"
Rich Mann,\N,\N,"director,actor","tt0159942,tt0129570,tt0128549,tt0123055"
Dan Frank,1959,\N,"actor,writer","tt0139499,tt0127153,tt0118069,tt0104261"
Mel Gibson,1956,\N,"actor,producer,director","tt0104714,tt0117438,tt0118883,tt0112573"
Julia Sawalha,1968,\N,"actress,soundtrack","tt1077744,tt2112096,tt0112130,tt0120630"
Phil Daniels,1958,\N,"actor,soundtrack,music_department","tt0120630,tt0260658,tt0079766,tt0079871"
Lynn Ferguson,1965,\N,"writer,actress,director","tt0276856,tt0301494,tt0120630,tt8337264"
Stephen McHattie,1947,\N,"actor,director,soundtrack","tt0409459,tt1226681,tt0414993,tt0475944"
Laura Harris,1976,\N,"actress,producer,soundtrack","tt0348913,tt0310281,tt0133751,tt0285331"
Jason Priestley,1969,\N,"actor,producer,director","tt5722298,tt1558182,tt0098749,tt2334593"
Gordon Michael Woolvett,1970,\N,"actor,director,writer","tt5645142,tt0339651,tt0884070,tt0213327"
David Spade,1964,\N,"actor,writer,producer","tt0437863,tt0245686,tt0120917,tt0114694"
John Goodman,1952,\N,"actor,soundtrack,producer","tt0101410,tt1907668,tt1179933,tt1024648"
Eartha Kitt,1927,2008,"music_artist,soundtrack,actress","tt0120917,tt0465327,tt0311289,tt0103859"
Patrick Warburton,1964,\N,"actor,producer,soundtrack","tt0120917,tt0120912,tt0389790,tt0425061"
David Duchovny,1960,\N,"actor,producer,director","tt0106179,tt0904208,tt0251075,tt0120902"
Minnie Driver,1970,\N,"actress,soundtrack,producer","tt5592146,tt0112679,tt0119217,tt0496343"
Carroll O'Connor,1924,2001,"actor,soundtrack,music_department","tt0094484,tt0066626,tt0078562,tt0122459"
Robert Loggia,1930,2015,"actor,director,soundtrack","tt0116922,tt0086250,tt0094737,tt0116629"
JD Roberto,1969,\N,"actor,stunts,producer","tt0990407,tt0106004,tt0115289,tt0120746"
Shayna Hill,\N,\N,actress,"tt0081858,tt0116914,tt0204250,tt0092381"
Amy Austin,\N,\N,actress,"tt0460729,tt0124798"
Lola Davidson,1975,\N,"actress,producer,costume_department","tt1204979,tt0458438,tt6791830,tt0871026"
Robert De Niro,1943,\N,"actor,producer,soundtrack","tt0101540,tt0081398,tt0077416,tt0075314"
Rene Russo,1954,\N,"actress,producer","tt2872718,tt0155267,tt0122151,tt0117438"
Piper Perabo,1976,\N,"actress,producer,soundtrack","tt0482571,tt0200550,tt4236770,tt6189022"
Jason Alexander,1959,\N,"actor,soundtrack,writer","tt0098904,tt0100405,tt0116583,tt0106598"
Huey Lewis,1950,\N,"soundtrack,actor,composer","tt0910936,tt0120885,tt0088763,tt0108122"
Gwyneth Paltrow,1972,\N,"actress,producer,soundtrack","tt0116191,tt0138097,tt1300854,tt0120148"
Paul Giamatti,1967,\N,"actor,producer,soundtrack","tt0375063,tt14849194,tt0352248,tt0305206"
Andre Braugher,1962,2023,"actor,producer,director","tt0106028,tt0186151,tt0120632,tt0884328"
John Scerrato,\N,\N,actor,"tt0138583,tt0182380"
Nicole Ricciardi,\N,\N,actress,tt0138583
Mara Dresner,\N,\N,"actress,assistant_director","tt2945754,tt0182380,tt0138583,tt6086818"
W. Scott Russell,\N,\N,actor,"tt0387822,tt0203259,tt0427577,tt0138583"
Micky Blatt,\N,\N,actor,tt0138288
Thomas J. La Sorsa,\N,\N,"actor,director,writer","tt1588860,tt0271444,tt4388910,tt0138288"
James Patrick McArdle,1974,2001,actor,tt0138288
Mark Anthony Love,1974,\N,"actor,writer,producer","tt1770656,tt0353497,tt16377282,tt0765477"
Kevin Kline,1947,\N,"actor,soundtrack,director","tt0095159,tt0106673,tt0113117,tt0120891"
Kenneth Branagh,1960,\N,"actor,producer,director","tt0107616,tt3402236,tt0097499,tt0116477"
Rosie Perez,1964,\N,"actress,miscellaneous,director","tt0106881,tt0108451,tt0102536,tt0105812"
Armand Assante,1949,\N,"actor,soundtrack,producer","tt0104802,tt0116441,tt0113492,tt0765429"
Jason Barry,1972,\N,"actor,writer,director","tt0366780,tt0120338,tt0222812,tt0116833"
Matt Day,1971,\N,"actor,director,writer","tt27162696,tt6958212,tt1587000,tt4460878"
Petra Yared,1979,\N,"actress,soundtrack,miscellaneous","tt0108709,tt0088580,tt1822469,tt0112073"
Simon Bossell,\N,\N,"actor,director,writer","tt0116565,tt1854308,tt0374463,tt0249311"
Natasha Henstridge,1974,\N,"actress,producer,soundtrack","tt0120841,tt0114508,tt0190138,tt0228333"
Michael Vartan,1968,\N,actor,"tt0479528,tt0285333,tt1657507,tt0151738"
Michael Rispoli,1960,\N,"actor,writer,producer","tt0376136,tt1250777,tt0114924,tt0162677"
Olivia d'Abo,1969,\N,"actress,soundtrack,music_department","tt2027128,tt0087078,tt0107843,tt2527338"
Bette Midler,1945,\N,"soundtrack,actress,producer","tt0091877,tt0107120,tt0094715,tt0116313"
Nathan Lane,1956,\N,"actor,soundtrack,producer","tt0110357,tt0395251,tt0119715,tt0115685"
Stockard Channing,1944,\N,"actress,soundtrack","tt0120791,tt0198021,tt0077631,tt0108149"
David Hyde Pierce,1959,\N,"actor,soundtrack,writer","tt0309530,tt0243655,tt0120623,tt0106004"
Heather Graham,1970,\N,"actress,producer,soundtrack","tt0118749,tt0131325,tt0120738,tt0145660"
Casey Affleck,1975,\N,"actor,producer,writer","tt6265828,tt4034228,tt0443680,tt6063090"
Luke Wilson,1971,\N,"actor,producer,director","tt0302886,tt0115734,tt0452702,tt0265666"
Goran Visnjic,1972,\N,"actor,producer,soundtrack","tt0108757,tt2193215,tt1568346,tt1532503"
Lloyd Bridges,1913,1998,"actor,soundtrack,director","tt0102059,tt0107144,tt0083530,tt0080339"
Josh Charles,1971,\N,"actor,director,soundtrack","tt0430105,tt0257076,tt0097165,tt0165961"
Alexandra Wentworth,1965,\N,"actress,writer,producer","tt0116695,tt1230414,tt0151804,tt5507340"
Beau Bridges,1941,\N,"actor,director,producer","tt1033575,tt0467197,tt2097307,tt0097322"
Nick Hill,\N,\N,"producer,actor","tt0819714,tt0410400,tt1907779,tt0368222"
Jacob Groh,\N,\N,actor,tt0145272
Thomas Gill,\N,\N,"director,actor,producer",tt0145272
Eddie Murphy,1961,\N,"actor,writer,producer","tt0117218,tt0097481,tt0094898,tt0443489"
Janet Jackson,1966,\N,"music_artist,soundtrack,actress","tt0144528,tt0906108,tt0107840"
Larry Miller,1953,\N,"actor,writer,producer","tt0310281,tt0117218,tt0147800,tt0100405"
John Ales,1969,\N,"actor,producer,camera_department","tt8772296,tt4370596,tt3594982,tt13655456"
Steven Polito,\N,\N,actor,"tt0331559,tt0114682,tt0144574,tt1874633"
Miss Understood,\N,\N,"actress,miscellaneous","tt0114682,tt0144574,tt1353056,tt0114937"
Debbie Harry,1945,\N,"soundtrack,actress,composer","tt0086541,tt0100740,tt0314412,tt0095270"
Jane Lynch,1960,\N,"actress,producer,soundtrack","tt1772341,tt0310281,tt1092026,tt1327801"
David Avallone,1965,\N,"director,producer,writer","tt3163414,tt2112164,tt2364947,tt4513850"
Endre Hules,\N,\N,"actor,miscellaneous,writer","tt14449470,tt7772588,tt0112384,tt1136617"
John Cusack,1966,\N,"actor,producer,writer","tt0098258,tt0146882,tt0450385,tt0119229"
Iben Hjejle,1971,\N,"actress,writer","tt1034303,tt0164756,tt0146882,tt0282768"
Todd Louiso,1970,\N,"actor,director,writer","tt2884018,tt0146882,tt2063666,tt0116695"
Jack Black,1969,\N,"actor,producer,soundtrack","tt0360717,tt0457510,tt0146882,tt0332379"
Morgan Rusler,1961,\N,"actor,art_department,set_decorator","tt0177789,tt1282140,tt0990407,tt0307479"
Hayley Man,\N,\N,actress,"tt0147486,tt0099000,tt0109742"
Angelle Brooks,1967,\N,actress,"tt0134269,tt0290983,tt0250274,tt0115101"
David James Alexander,\N,\N,actor,"tt0101786,tt0086734,tt0105597,tt0104990"
Paul Newman,1925,2008,"actor,producer,director","tt0257044,tt0084855,tt0110684,tt0054997"
Linda Fiorentino,1958,\N,"actress,soundtrack","tt0119654,tt0120655,tt0088680,tt0110308"
Dermot Mulroney,1963,\N,"actor,soundtrack,music_department","tt1322269,tt0119738,tt0096487,tt0356680"
Susan Barnes,\N,\N,actress,"tt0171580,tt0120179,tt0087995,tt0096256"
Joe Grisaffi,1968,\N,"actor,casting_department,producer","tt8835638,tt2909196,tt0151309,tt1884338"
Anne Quackenbush,\N,\N,actress,"tt0151309,tt1884338,tt1367177,tt0179650"
Therese Kotara,\N,\N,actress,tt0151309
Garrison Wynn,\N,\N,actor,"tt0147704,tt0151309"
Yahoo Serious,1953,\N,"director,actor,writer","tt0156807,tt0096486,tt6893696,tt0107930"
Helen Dallimore,1971,\N,"actress,writer,stunts","tt5174232,tt0156807,tt2191715,tt0301817"
David Field,\N,\N,"actor,director,writer","tt5016504,tt0429087,tt3097204,tt4651812"
Grant Piro,\N,\N,"actor,miscellaneous","tt0106341,tt22054030,tt5797184,tt0231402"
Madonna,1958,\N,"music_artist,soundtrack,actress","tt0156841,tt0089017,tt0104694,tt0116250"
Rupert Everett,1959,\N,"actor,soundtrack,producer","tt0109592,tt2404639,tt0122541,tt0119738"
Benjamin Bratt,1963,\N,"actor,producer,director","tt2380307,tt0181865,tt0212346,tt0098844"
Illeana Douglas,1961,\N,"actress,producer,writer","tt0114681,tt0162346,tt0164181,tt0241760"
Leslie Nielsen,1926,2010,"actor,producer,soundtrack","tt0102510,tt0120901,tt0080339,tt0095705"
Ophélie Winter,1974,\N,"actress,soundtrack,composer","tt0157262,tt0267923,tt0357111,tt0269499"
Ezio Greggio,1954,\N,"actor,producer,writer","tt0111190,tt0119459,tt1249306,tt1969959"
Peter Egan,1946,\N,"actor,director,cinematographer","tt0795368,tt0077042,tt0082158,tt0372532"
Frankie Muniz,1985,\N,"actor,soundtrack,producer","tt0265298,tt0156812,tt0441796,tt0313911"
Kevin Bacon,1958,\N,"actor,producer,soundtrack","tt0327056,tt0164052,tt0087277,tt0361127"
Diane Lane,1965,\N,"actress,soundtrack","tt2096673,tt0250797,tt0086066,tt0328589"
Luke Wilson,1971,\N,"actor,producer,director","tt0302886,tt0115734,tt0452702,tt0265666"
Mark Ruffalo,1967,\N,"actor,producer,soundtrack","tt0842926,tt1895587,tt0848228,tt1100089"
Beth Ulrich,1971,\N,actress,"tt0156741,tt0116374,tt0113434,tt0167141"
Alan Gelfant,1957,\N,actor,"tt0115986,tt0119778,tt0166276,tt0179526"
Manuel Cabral,\N,\N,actor,"tt0892255,tt1082601,tt0086765,tt0298050"
Norm MacDonald,1959,2021,"actor,writer,producer","tt0120654,tt0255798,tt0118998,tt0112508"
Dave Chappelle,1973,\N,"writer,producer,actor","tt1517451,tt0353049,tt0120693,tt0181316"
Elaine Stritch,1925,2014,"actress,music_department,writer","tt0072577,tt0496424,tt0369735,tt0308213"
Danny DeVito,1944,\N,"actor,producer,director","tt0119488,tt0098621,tt0117008,tt0103776"
William Ash,1977,\N,"actor,writer,director","tt0156757,tt0783598,tt1093369,tt0096645"
Maclean Stewart,1976,\N,actor,"tt0220652,tt0213344,tt0156757,tt0218182"
Tim Loane,\N,\N,"writer,actor,miscellaneous","tt27495613,tt0944947,tt0140934,tt0280330"
Russell Smith,\N,\N,"miscellaneous,actor","tt11311302,tt1727824,tt0416508,tt0790590"
Josefin Nilsson,1969,2016,"actress,soundtrack,production_designer","tt0389851,tt0118554,tt0300651,tt0158581"
