tconst,ordering,nconst,category,job,characters
tt0113092,1,nm0001002,actor,\N,"[""Gen. Murran""]"
tt0113092,2,nm0001299,actor,\N,"[""Evans""]"
tt0113092,3,nm0923529,actor,\N,"[""Sutherland""]"
tt0113092,4,nm0936365,actress,\N,"[""Abel""]"
tt0113086,2,nm0868692,actor,\N,"[""El Diablo""]"
tt0116748,1,nm0004487,actress,\N,"[""Seema Saxena""]"
tt0116748,2,nm0438463,actor,\N,"[""Rajiv Sinha""]"
tt0116748,3,nm0438501,actor,\N,"[""Amar Saxena"",""Rohit Sinha""]"
tt0116748,4,nm0025627,actor,\N,"[""Ramlal Shyamlal""]"
tt0115874,1,nm0532458,actor,\N,"[""Edmundo""]"
tt0115874,2,nm0659922,actress,\N,"[""Desirée""]"
tt0115874,3,nm0690185,actor,\N,"[""Valdeci""]"
tt0115874,4,nm0707967,actor,\N,"[""Assis Chateaubriand""]"
tt0116391,1,nm0006763,actor,\N,"[""Gangu""]"
tt0116391,2,nm0007113,actor,\N,"[""Abdul""]"
tt0116391,3,nm0310173,actor,\N,"[""Nihal Singh""]"
tt0116391,4,nm0412917,actor,\N,"[""Gary Rozario""]"
tt0118694,1,nm0504897,actor,\N,"[""Chow Mo-wan""]"
tt0118694,2,nm0001041,actress,\N,"[""Su Li-zhen - Mrs. Chan""]"
tt0118694,3,nm0803310,actor,\N,"[""Ah Ping""]"
tt0118694,4,nm0156432,actor,\N,"[""Man living in Mr. Koo's apartment""]"
tt0118710,1,nm0164934,actor,\N,"[""Patrick Shaw""]"
tt0118710,2,nm0253043,actress,\N,"[""Helen Graham""]"
tt0118710,3,nm0394625,actor,\N,"[""Seamus O'Sullivan""]"
tt0118710,4,nm0566663,actor,\N,"[""Tom Finegan""]"
tt0118852,1,nm0000199,actor,\N,"[""Harry Levine""]"
tt0118852,2,nm0001583,actor,\N,"[""Jake Manheim""]"
tt0118852,3,nm0283299,actress,\N,"[""Joanna""]"
tt0118852,4,nm0568375,actress,\N,"[""Mavis""]"
tt0119866,1,nm0487254,actor,\N,"[""Bernard Lartigue""]"
tt0119866,2,nm0001250,actress,\N,"[""Alice Almeida""]"
tt0119866,3,nm0749222,actor,\N,"[""Loïc""]"
tt0119866,4,nm0196076,actress,\N,"[""Gabriela""]"
tt0119495,1,nm0611295,actor,\N,"[""Andrew""]"
tt0119495,2,nm0177185,actress,\N,"[""Shayna""]"
tt0119495,3,nm0172416,actor,\N,"[""Joe""]"
tt0119495,4,nm0806173,actor,\N,"[""Tad""]"
tt0119966,1,nm0106692,actor,\N,"[""Frank Dial""]"
tt0119966,2,nm0110055,actor,\N,"[""Dave Kirkland""]"
