nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0001002,Dean Cain,1966,\N,"actor,producer,writer","tt0106057,tt0250687,tt0313443,tt2528814"
nm0001299,Thomas Ian Griffith,1962,\N,"actor,producer,writer","tt0113313,tt0295701,tt0097647,tt0120877"
nm0923529,Justin Whalin,1974,\N,actor,"tt1161064,tt0190374,tt0111127,tt0103956"
nm0936365,Jodi Bianca Wise,1971,\N,actress,"tt8773420,tt0482571,tt10329028,tt0364845"
nm0868692,José Torres,1925,\N,"actor,stunts","tt0066457,tt0203105,tt0061636,tt4564560"
nm0004487,Juhi Chawla,1967,\N,"actress,producer,music_department","tt0164550,tt0109555,tt2980648,tt0095936"
nm0438463,Anil Kapoor,1956,\N,"actor,producer,music_department","tt2792284,tt1010048,tt13751694,tt7431594"
nm0438501,Rishi Kapoor,1952,2020,"actor,soundtrack,music_department","tt4900716,tt0886539,tt1275863,tt1849718"
nm0025627,Tinnu Anand,1945,\N,"actor,director,writer","tt20850406,tt0082594,tt1166100,tt13927994"
nm0532458,Zécarlos Machado,1950,\N,actor,"tt4855286,tt2106411,tt11737102,tt0174481"
nm0659922,Lavínia Panunzio,1966,\N,actress,"tt5349022,tt1252516,tt1159598,tt11065088"
nm0690185,Augusto Pompeo,\N,\N,actor,"tt0268337,tt0489458,tt10395866,tt3906650"
nm0707967,Luiz Ramalho,\N,\N,actor,"tt1256139,tt0109388,tt0121118,tt0391321"
nm0006763,Jackie Shroff,1957,\N,"actor,soundtrack,producer","tt0114234,tt0238936,tt0248185,tt9095260"
nm0007113,Nana Patekar,1951,\N,"actor,music_department,director","tt0451631,tt0110280,tt0476884,tt0102701"
nm0310173,Kumar Gaurav,1956,\N,"actor,producer,assistant_director","tt0294662,tt0091598,tt0249986,tt0246286"
nm0412917,Jaaved Jaaferi,1960,\N,"actor,music_department,soundtrack","tt2905838,tt9531772,tt1187043,tt0456165"
nm0504897,Tony Leung Chiu-wai,1962,\N,"actor,soundtrack,music_department","tt1462900,tt0212712,tt0338564,tt0118694"
nm0001041,Maggie Cheung,1964,\N,"actress,soundtrack","tt0101258,tt0299977,tt0118694,tt0117905"
