0,1
tt0116391,"['Àlex Monner', 'Igor Szpakowski', 'Júlia Molins', 'Carla Linares', 'Jaume Madaula Izquierdo', 'Aimar Vega', 'Laura Weissmahr', 'Louise Good', '', '']"
tt0120755,"['Tom Cruise', 'Thandie Newton', 'John Woo', 'Dougray Scott', 'Richard Roxburgh', 'Ving Rhames', 'Brendan Gleeson', 'William Mapother', '', '']"
tt0120913,"['Matt Damon', 'John Leguizamo', 'Drew Barrymore', 'Bill Pullman', 'Jim Breuer', 'Janeane Garofalo', 'Christopher Scarabosio', 'Charles Rocket', '', '']"
tt0120903,"['Hugh Jackman', 'Patrick Stewart', 'Famke Janssen', 'Ian McKellen', 'Anna Paquin', 'James Marsden', 'Halle Berry', 'Rebecca Romijn', '', '']"
tt0132910,"['Eric Mabius', 'Kirsten Dunst', 'William Atherton', 'Fred Ward', ""Jodi Lyn O'Keefe"", 'K. C. Clyde', 'Dale Midkiff', 'Debbie Fan', '', '']"
tt0134847,"['Vin Diesel', 'Cole Hauser', 'Rhiana Griffith', 'Radha Mitchell', 'Claudia Black', 'Keith David', 'Simon Burke', 'Lewis Fitz-Gerald', '', '']"
tt0141926,"['Matthew McConaughey', 'Bill Paxton', 'Harvey Keitel', 'Jon Bon Jovi', 'Thomas Kretschmann', 'Jake Weber', 'Tom Guiry', 'Erik Palladino', '', '']"
tt0144964,"['Christopher Lambert', 'Adrian Paul', 'Douglas Aarniokoski', 'Donnie Yen', 'Bruce Payne', 'Adam Copeland', 'Wendy Partridge', 'Christopher Leps', '', '']"
tt0160127,"['Jaclyn Smith', 'Elizabeth Banks', 'Kristen Stewart', 'John Forsythe', 'Drew Barrymore', 'Lucy Liu', 'Cameron Diaz', 'Ella Balinska', '', '']"
tt0164052,"['Kevin Bacon', 'Elisabeth Shue', 'Josh Brolin', 'Rhona Mitra', 'Kim Dickens', 'Greg Grunberg', 'Mary Randle', 'William Devane', '', '']"
tt0165642,"['Anthony Addabbo', 'Timothy Bottoms', 'Irina Grigoryeva', 'Vera Sotnikova', 'Jacqueline Lovell', 'Brion James', 'Yelena Zatolokina', 'Anna Dubrovskaya', '', '']"
tt0165400,"['Richard Norton', 'Miranda Wolfe', 'Christopher Kriesa', 'Hannes Jaenicke', 'Brien Dirito', 'JD Roberto', 'Victor Eschbach', 'Michael Phenicie', '', '']"
tt0165929,"['Jet Li', 'Aaliyah', 'Russell Wong', 'DMX', 'Isaiah Washington', 'Anthony Anderson', 'Delroy Lindo', 'D.B. Woodside', '', '']"
tt0167367,"['Patrick Muldoon', 'Fred Ward', 'C. Thomas Howell', 'Cathy Moriarty', 'Tim Thomerson', 'David Millbern', 'Lee J. Campbell', 'David Beecroft', '', '']"
tt0168714,"['Bobby Campo', 'Lulu Jovovich', 'Rachele Brooke Smith', 'Tony Amendola', 'Nick McCallum', 'Thomas Ian Nicholas', 'Caroline Cole', 'Ali Eagle', '', '']"
tt0168504,"['Scott Wiper', 'Lou Diamond Phillips', 'Jefferson Moore', 'Andre Braugher', 'Mo Gallini', 'Natasha Henstridge', 'Jack Conley', 'Rick Hoffman', '', '']"
tt0170452,"['Kathleen Turner', 'Cathy Moriarty', 'Harvey Keitel', 'Danny Aiello', 'Frank Nasso', 'Lauren Vélez', 'John P. Gulino', 'Mtume Gant', '', '']"
tt0172495,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Paul Mescal', 'Oliver Reed', 'Richard Harris', 'Spencer Treat Clark', 'Tommy Flanagan', '', '']"
tt0172109,"['Michelle Hunziker', 'Alberto Tomba', 'Corinne Cléry', 'Massimo Poggio', 'Tony Kendall', 'Orso Maria Guerrini', 'Ramona Badescu', 'Tullio Sorrentino', '', '']"
tt0172464,"['C. Thomas Howell', 'Richard Thomas', 'Corey Feldman', 'Estelle Getty', 'Gregory Poppen', 'Neil Mandt', 'Anastasia Trovato', 'Steven Paul', '', '']"
tt0176650,"['John Rhys-Davies', 'Lior Raz', 'Gary Daniels', 'Mike Norris', ""Ze'ev Revach"", 'Bentley Mitchum', 'Sasson Gabai', 'Uri Gavriel', '', '']"
tt0177971,"['Diane Lane', 'Mary Elizabeth Mastrantonio', 'George Clooney', 'William Fichtner', 'John Hawkes', 'Mark Wahlberg', 'John C. Reilly', 'Hayden Tank', '', '']"
tt0179861,"['Nikolay Khomeriki', 'Sergei Puskepalis', 'Aleksandr Pal', 'Piotr Fiódorov', 'Anna Mikhalkova', 'Olga Smirnova', 'Vitaliy Khayev', 'Aleksandr Yatsenko', '', '']"
tt0181836,"['James Gunn', 'Rob Lowe', 'Paget Brewster', 'Thomas Haden Church', 'Jamie Kennedy', 'Judy Greer', 'Kelly Coffield Park', 'Sean Gunn', '', '']"
tt0183869,"['Samy Naceri', 'Luc Besson', 'Emma Wiklund', 'Marion Cotillard', 'Frédéric Diefenthal', 'Bernard Farcy', 'Jean-Christophe Bouvet', 'Ko Suzuki', '', '']"
tt0184858,"['Ben Affleck', 'Charlize Theron', 'Gary Sinise', 'Ashton Kutcher', 'James Frain', 'Isaac Hayes', 'Donal Logue', 'Michael Sunczyk', '', '']"
tt0184894,"['Jackie Chan', 'Owen Wilson', 'Lucy Liu', 'Brandon Merrill', 'Eric Chen', 'Roger Yuan', 'Walton Goggins', 'Jason Connery', '', '']"
tt0186566,"['Clint Eastwood', 'Tommy Lee Jones', 'James Garner', 'Donald Sutherland', 'Marcia Gay Harden', 'James Cromwell', 'William Devane', 'Barbara Babcock', '', '']"
