0,1
tt0362209,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'IMDbPro', 'Todos los temas', 'Susan Hero', '2007', 'Not Rated', '1h 25min', 'PUNTUACIÓN EN IMDb', '7,1', '/10', '27', 'TU PUNTUACIÓN', 'Puntuar', ' Reproducir clip con sonido2:14', ""Ver 'Lost in New Mexico' - Trailer"", '4 VÍDEOS', '29 IMÁGENES', 'Drama', 'Romance', 'Ciencia ficción', 'Añade un argumento en tu idioma', 'Accompanied by her illegal immigrant companion, a woman desperate to clone her deceased child steals cash and heads across country in search of a maverick animal cloning expert who says he can help her.', 'Dirección', 'Jason Rosette', 'Guión', 'Jason Rosette', 'Reparto principal', 'Larry BraslowJack BurningCarlos A. Cabarcas', 'Ver la información de la producción en IMDbPro', 'STREAMING', 'Añade a mi lista de seguimiento', '2', 'Reseñas de usuarios', '4', 'Reseñas de críticos']"
tt0362822,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', 'Light and the Sufferer', '2007', 'Not Rated', '1h 10min', 'PUNTUACIÓN EN IMDb', '4,7', '/10', '135', 'TU PUNTUACIÓN', 'Puntuar', ' Reproducir trailer con sonido1:01', '1 VÍDEO', '2 IMÁGENES', 'Drama', 'Ciencia ficción', 'Añade un argumento en tu idioma', ""Realism and fantasy collide in Jonathan Lethem's genre-bending coming-of-age story, which follows two estranged brothers as they try to leave New York City for a new life in California only to find their plans--and lives--being forever changed by the appearance of a mysterious alien. We follow Paul--fresh from dropping out of college and living unhappily at home with ... Leer todo"", 'Dirección', 'Christopher Peditto', 'Guión', 'Jonathan LethemChristopher Peditto', 'Reparto principal', 'Paul DanoMichael EsperAnthony M. Bertram', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '5', 'Reseñas de usuarios', '1', 'Reseña de críticos']"
tt0362691,"['Reparto y equipo', 'IMDbPro', 'Todos los temas', ""Stompin'"", '2007', 'Not Rated', '1h 25min', 'PUNTUACIÓN EN IMDb', '4,2', '/10', '86', 'TU PUNTUACIÓN', 'Puntuar', ' Reproducir trailer con sonido1:56', '1 VÍDEO', '2 IMÁGENES', 'Drama', 'Añade un argumento en tu idioma', 'The coming of age story about two brothers who struggle to mend their estranged relationship as their college campus gears up for a major Stepshow competition.', 'Dirección', 'Nate Thomas', 'Guión', 'Danielle PorterJeffery TaylorDeon Reid', 'Reparto principal', 'SinbadVanessa Bell CallowayShedrack Anderson III', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '1', 'Reseña de críticos']"
tt0368151,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', 'Playas Ball', '2007', 'R', '1h 28min', 'PUNTUACIÓN EN IMDb', '4,9', '/10', '149', 'TU PUNTUACIÓN', 'Puntuar', ' Reproducir trailer con sonido0:36', '1 VÍDEO', '2 IMÁGENES', 'Drama', 'Romance', 'Añade un argumento en tu idioma', 'Cedric Tinsel (Allen Payne) is a 27-year-old professional basketball player. He is on a verge of signing a lucrative endorsment contract and proposing to his girlfriend Jill Hamlin (Chelsi Smith).', 'Dirección', 'Jennifer Harper', 'Guión', 'Dale DavisJennifer Harper', 'Reparto principal', ""Allen PayneElise NealAnthony 'Treach' Criss"", 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '2', 'Reseñas de usuarios', '3', 'Reseñas de críticos']"
tt0368794,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'Preguntas frecuentes', 'IMDbPro', 'Todos los temas', ""I'm Not There"", '2007', '7', '2h 15min', 'PUNTUACIÓN EN IMDb', '6,8', '/10', '61 mil', 'TU PUNTUACIÓN', 'Puntuar', ' Reproducir trailer con sonido1:08', '3 VÍDEOS', '99+ IMÁGENES', 'Biografía', 'Drama', 'Música', 'Reflexiones sobre la vida de Bob Dylan en que seis personajes distintos representan diferentes facetas de la vida y el trabajo del artista.', 'Dirección', 'Todd Haynes', 'Guión', 'Todd HaynesOren Moverman', 'Reparto principal', 'Christian BaleCate BlanchettHeath Ledger', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', 'Añadido por 113 mil usuarios', '257', 'Reseñas de usuarios', '237', 'Reseñas de críticos', '73', 'Metapuntuación']"
tt0367959,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'Preguntas frecuentes', 'IMDbPro', 'Todos los temas', 'Hannibal, el origen del mal', 'Título original: Hannibal Rising', '2007', '18', '2h 1min', 'PUNTUACIÓN EN IMDb', '6,1', '/10', '115 mil', 'TU PUNTUACIÓN', 'Puntuar', 'POPULARIDAD', '4530', '7', 'Reproducir trailer2:26', '2 VÍDEOS', '29 IMÁGENES', 'Aventura', 'Crimen', 'Drama', 'Tras la muerte de sus padres en la guerra, el joven Hannibal Lecter se muda con su tía y empieza a planear su venganza contra los bárbaros responsables de la muerte de su hermana.', 'Dirección', 'Peter Webber', 'Guión', 'Thomas Harris', 'Reparto principal', 'Gaspard UllielRhys IfansGong Li', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', 'Añadido por 80,9 mil usuarios', '459', 'Reseñas de usuarios', '119', 'Reseñas de críticos', '35', 'Metapuntuación']"
tt0372005,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'IMDbPro', 'Todos los temas', ""The Devil's Muse"", '2007', 'Not Rated', '1h 39min', 'PUNTUACIÓN EN IMDb', '3,9', '/10', '330', 'TU PUNTUACIÓN', 'Puntuar', 'Crimen', 'Drama', 'Terror', 'Añade un argumento en tu idioma', ""A stark look at one of Hollywood's darkest mysteries, The Black Dalia (Elizabeth Short) Murder."", 'Dirección', 'Ramzi Abed', 'Guión', 'Ramzi Abed', 'Reparto principal', 'Kristen KerrLizzy StrainTrent Haaga', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '11', 'Reseñas de usuarios', '19', 'Reseñas de críticos']"
tt0369878,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', 'AFR', '2007', 'Not Rated', '1h 23min', 'PUNTUACIÓN EN IMDb', '5,3', '/10', '474', 'TU PUNTUACIÓN', 'Puntuar', 'Drama', 'Añade un argumento en tu idioma', 'A mockumentary where reality and fiction are combine to create drama. The director has deceived and manipulated leading world politicians, as well as politicians in his own country, for satirical effect.', 'Dirección', 'Morten Hartz Kaplers', 'Guión', 'Allan Milter JakobsenMorten Hartz Kaplers', 'Reparto principal', 'Rashid AitouganovKofi AnnanReimer Bo Christensen', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '4', 'Reseñas de usuarios', '6', 'Reseñas de críticos']"
tt0372873,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'Preguntas frecuentes', 'IMDbPro', 'Todos los temas', 'Dragon Wars', 'Título original: D-War', '2007', '13', '1h 47min', 'PUNTUACIÓN EN IMDb', '3,5', '/10', '25 mil', 'TU PUNTUACIÓN', 'Puntuar', 'Reproducir trailer1:40', '8 VÍDEOS', '69 IMÁGENES', 'Acción', 'Drama', 'Fantasía', 'Una vez cada 500 años, antiguas criaturas míticas llegan a la Tierra, causando estragos y destrucción. Esta vez deben ser detenidos.', 'Dirección', 'Hyung-rae Shim', 'Guión', 'Hyung-rae Shim', 'Reparto principal', 'Jason BehrAmanda BrooksRobert Forster', 'Ver la información de la producción en IMDbPro', 'RENT/BUY', 'from EUR3.99', 'Añade a mi lista de seguimiento', 'Añadido por 8,9 mil usuarios', '380', 'Reseñas de usuarios', '100', 'Reseñas de críticos', '33', 'Metapuntuación']"
tt0370433,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', 'Crossing', '2007', 'PUNTUACIÓN EN IMDb', '3,8', '/10', '137', 'TU PUNTUACIÓN', 'Puntuar', 'Crimen', 'Drama', 'Romance', 'Añade un argumento en tu idioma', ""Fifteen years after he last saw him, Danny Cimmerman, a Toronto banker, comes back to Vancouver to say goodbye to his ethnic Croatian gangster father, John Cimmerman, who is on his death bed. Danny never approved of how his father made a living, the reason why Danny left town in the first place, and conversely John felt Danny was a disappointment. Regardless, John's d... Leer todo"", 'Dirección', 'Roger Larry', 'Guión', 'Roger LarrySandra Tomc', 'Reparto principal', 'Sebastian SpenceCrystal BubléA.C. Peterson', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '12', 'Reseñas de usuarios', '3', 'Reseñas de críticos']"
