0,1,2,3,4,5
tt0810821,Sticky Fingaz,Sticky Fingaz,5.1,1h 30min,"Bad blood between two urban crime families explodes into an all-out turf war in this gritty, hard-hitting drama set to rap and starring music legend Sticky Fingaz."
tt0810089,Jovan B. Todorovic,"Jovan B. Todorovic, Bogdan Petkovic, Kosta Pesevski",6.7,1h 22min,"The film is about Vlada Vasiljević, a citizen of Belgrade, who in 1979 stole a white Porsche 911 Targa S, and for about ten evenings taunted the police with his reckless driving."
tt0814062,"Marcos Jorge, Fernando Severo","Marcos Jorge, Mário Lopes, Fernando Severo",5.9,1h 40min,"An astronomer is forced to leave the city where he lives in order to save his relationship. He ends up returning to the place he never intended to come back: The small town where he was born, stage of a great childhood trauma. Once there, he will discover the truth that will change his life forever."
tt0815182,Henry Jaglom,Henry Jaglom,4.4,1h 35min,"A film about the complex relationships between fathers and daughters, and the potential lifelong consequences of those relationships."
tt0815245,"Charles Guard, Thomas Guard","Craig Rosenberg, Doug Miro, Carlo Bernard",6.3,1h 27min,
tt0819916,David Noel Bourke,David Noel Bourke,4.2,1h 31min,A haunting fairy-tale thriller set between snowy landscapes and a neon city.
tt0820846,Conrad Pla,Conrad Pla,6.4,1h 25min,".Ex-boxer Paul Choquino decides to finance his upcoming wedding by robbing reputed drug lord Benito Mussolini Bonacci. But everything that can go wrong in the burn does and Paul is left running from the law, the mob and one of the members of his own posse"
tt0821642,Joe Wright,"Susannah Grant, Steve Lopez",6.7,1h 57min,
tt0822833,"Alfonso Albacete, David Menkes","Alfonso AlbaceteÁngeles González Sinde, David Menkes",3.9,1h 47min,
tt0824758,Michael Hoffman,"Michael Hoffman, Jay Parini",6.9,1h 52min,
tt0826593,Jason Connery,Aaron Pope,3.3,1h 31min,"A veterinarian finds herself in the midst of a horrifying pandemic where humans and animals are stricken with a horrible, contagious disease. She must pair up with an eccentric conspiracy theorist to discover the true source of the threat."
tt0829422,Michael Giannantonio,Michael Giannantonio,,,"In the independent film ""Family Business,"" the tale unfolds at Doilie's Diner, a beloved family restaurant established in 1955. For generations, the restaurant has thrived on delicious homemade recipes and a warm, welcoming atmosphere. In 2006, the baton is passed to Mark Doilie, a responsible and detail-oriented sibling. Chaos ensues when Mark's free-spirited, charmi... Leer todo"
tt0831279,Christopher Robin Hood,"Christopher Robin Hood, Nick Murphy",3.5,1h 21min,"After getting raped by her casino owner boss, a stripper decides to get back at him. With the help of 4 other strippers and a couple of guys, they plan to ruin the casino owner."
tt0832318,Jonathan Glatzer,"Jonathan Glatzer, Robert C. Lawson",5.3,1h 55min,Set in the mid-80's when a reporter is sent to cover the Challenger Space Shuttle launch only to become mixed up in the lives of some local students.
tt0833879,Jack R. Jambor,"Jack R. Jambor, Jack Robert Jambor",,,Dirección
tt0838247,Agnieszka Wojtowicz-Vosloo,"Agnieszka Wojtowicz-Vosloo, Paul Vosloo, Jakub Korolczuk",5.9,1h 44min,
tt0838241,Chris Zamoscianyk,"Elisa Delson, Rob Dyrdek, Nino Scalia",6.1,1h 28min,"This story is based where the skateboard culture is the most foreign, the Midwest. Derrick Cabrera, like all skaters, has a dream of being sponsored and one day going pro. He is an up and coming skater with all the talent but has the world against him. Parents, friends and schoolmates can't understand how Derrick has so much passion for something that has no future in... Leer todo"
tt0837795,Carl T. Evans,"Charles Kipps, Carl T. Evans",4.6,1h 28min,A New Jersey police detective comes across new evidence in the Kennedy assassination.
tt0843358,"Paul Fierlinger, Sandra Fierlinger","J.R. Ackerley, Paul Fierlinger, Sandra Fierlinger",6.8,1h 23min,The story of a man who rescues a German shepherd and how the two become fast friends.
tt0844471,"Phil Lord, Christopher Miller","Phil Lord, Christopher Miller, Judi Barrett",6.9,1h 30min,
tt0847208,D.C. Douglas,"Betty Malicoat, D.C. Douglas",6.4,18min,A day in the life of Sharon as she struggles with a recent divorce and a current perception problem.
tt0848556,Paul Boyd,"Paul Boyd, Howard Gibson",6.8,2009,"An artist and skater with a heart of gold, R.J. (Paul Rodriguez Jr) dreams of moving to New York City to pursue his dream of creating comic books. Soon, RJ meets Angel (Emily Rios), a rebellious singer in a local teenage punk band. Their unexpected story of true love causes the tides to turn in both lives, and RJ reveals a secret that could cost the life of his new lo... Leer todo"
tt0847221,Matt Krentz,"Matt Krentz, Vernon Whitlock III",5.6,1h 59min,A troubled junior college basketball player forges an unlikely friendship with a fellow baller through pick-up games on the streets of St. Louis.
tt0849458,Dorothy Lyman,Nancy Fales-Garrett,5.4,1h 48min,The lives of three disparate families are illuminated by a meteor shower on a winter night.
tt0852965,Christopher C. Young,Christopher C. Young,5.1,1h 21min,Lcpl Arne Christenson has three days left to try to understand what he's been through and find something worth coming home to.
tt0854669,"Peter Mc, Gennis","Peter Mc, Gennis",6.0,1h 48min,A man returns home from exile unknowingly seeking the truth.
tt0854676,Mark Kalbskopf,Mark Kalbskopf,5.6,1h 39min,"A funny story about faith, forgiveness and the weird people you grew up with while trying to start your car."
tt0855849,Raúl Caballero,Raúl Caballero,7.2,10min,Dirección
tt0857275,Joshua Goldin,Joshua Goldin,6.0,1h 29min,"Ben Singer has his cynical worldview darkened by his roommate Ibu's sudden medical situation, though the arrival of Ibu's sister, Khadi, might remedy both men's ills."
tt0859641,"Junko Kajino, Ed Koziarski","Junko Kajino, Ed Koziarski",4.5,1h 12min,A young Okinawan woman named Rei kidnaps the teenage son of a U. S. Marine with whom she shares a dark and mysterious past.
tt0860837,James Anthony Cotton,James Anthony Cotton,6.8,1h 57min,A disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town.
tt0860906,"Masayuki, Kazuya Tsurumaki, Hideaki Anno","Hideaki Anno, Yôji Enokido, Shinji Higuchi",7.9,1h 52min,
tt0862467,Nicolas Winding Refn,"Nicolas Winding Refn, Roy Jacobsen, Matthew Read",6.0,1h 33min,
tt0862884,Chopper Bernet,Walter Spring,6.4,1h 39min,"Carty has a new baby, a tense marriage, and four months of fragile sobriety. When he discovers a twenty dollar bill with a message written on it, an obsession begins. Will it free him? Or destroy him?"
tt0865560,Philippe Diaz,Philippe Diaz,5.1,1h 39min,
tt0870157,"Benjamin Eicher, Timo Joh. Mayer","Benjamin Eicher, Michael Glasauer, Timo Joh. Mayer",2.8,1h 34min,Several interconnected stories from people who don't know each other are shown from different angles.
tt0870984,Lars von Trier,Lars von Trier,6.5,1h 48min,
tt0874271,Nathan Hope,"Nathan Hope, Jess Penner",5.3,1h 46min,"A teen girl disappears after trying to meet men online in order to escape her small town. Apparently, only her best friend worries enough to investigate the mystery."
tt0875031,Dan Neira,"Scott Muller, Jackie Watson, Larry Kurnarsky",6.6,2009,"""Touched"" is the dramatic depiction of one of the most fervent of human conditions - love. The story is an encompassment of the various perils and possibilities of this very sentiment which lays a precedent for forgiveness, acceptance, and transformation."
tt0875034,Rob Marshall,"Michael Tolkin, Anthony Minghella, Arthur Kopit",5.8,1h 58min,
tt0878804,John Lee Hancock,"John Lee Hancock, Michael Lewis",7.6,2h 9min,
tt0879403,Ferran Audí,Ferran AudíHenrik Ibsen,5.0,1h 43min,"A couple's marriage falls apart after the death of their son. Based on Henrik Ibsen's ""Little Eyolf""."
tt0880570,Franc. Reyes,Franc. Reyes,4.4,1h 29min,A NYPD detective attempts to avenge her father's death but unwittingly becomes involved with one of his murderers.
tt0882806,Cody Jarrett,Cody Jarrett,3.6,1h 26min,Sexy reporter Valerie March goes undercover inside Sugar State Woman's Prison to expose a prostitution ring run by the sleazy and seductive warden.
tt0882789,"David Morris, Jacqui Morris",David Morris,5.8,1h 35min,"Harry hates being a TV producer and dreams of leaving his job to travel the world. He loves Alex, an aspiring actor who is struggling to create an identity for himself as a performer. Rugby player William's nine-year-old daughter is intent on sabotaging his relationships with new boyfriends, and he's finding it difficult to let Lawrence, the soap star, into his life. ... Leer todo"
tt0884227,Hanelle M. Culpepper,Rebecca Sonnenshine,5.2,1h 35min,"Young Rachel has a terrifying secret. She can see evil spirits within others. After witnessing the brutal killing of her mother, she and her father move to a small town hoping to put the shattered pieces of their lives back together."
tt0886528,"Alex Justinger, Ben Robertson",,9.7,28min,"In a tribute to the era of German Expressionism, ""Rougge The Vampyre"" is the tale of a vampyre longing for his lost mortal feelings of love only to find jealousy."
tt0886539,Zoya Akhtar,"Zoya Akhtar, Javed Akhtar, Athar Nawaaz",7.1,2h 36min,"When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend."
tt0889146,Morgan Mead,"D.C. Hamilton, Andrew Janoch, Morgan Mead",6.2,1h 36min,"As a forty-something door-to-door book salesman, Jerry is used to having doors shut in his face. However, a chance meeting with Jordan, an engaging young punk rocker, opens the door into a new world."
tt0887966,Joe Otting,Denis Hamill,6.0,1h 40min,Sparks and bullets fly when a Wall Street yuppie must steer a Brooklyn mob crew legit before a beautiful FBI agent can build RICO indictments against them.
tt0887769,T. Hariharan,"M.T. Vasudevan Nair, Manisha Korde, Manoj Santoshi",7.7,3h 15min,"Kerala Varma Pazhassi Raja is a 2009 Malayalam historical drama film based on the life of Pazhassi Raja, a Hindu king who fought against the British in the 18th century."
tt0892060,Tommy Wood,"Neal Shannon Cruey, Tommy Wood",8.0,1h 27min,"In a small, sleepy Georgia town, Bobby Hicks rules the roost, until he is found grilled to death on his still-warm barbecue smoker. When the town's only lawyer informs a select group that Bobby has left over a quarter-million dollar inheritance to the last one of them left living, things take a turn for the worse. In the midst of the chaos, Bobby's niece Megan falls f... Leer todo"
tt0892392,Brent Huff,"Gary M. Lumpp, Vladimir Rajcic",3.1,1h 37min,"This action, thriller, is set in Belgrade, Chicago and Kosovo, chronicles the complicated relationship and reunion of estranged brothers, Alex and Peter and the forbidden love of a Serbian Soldier and a young Muslim woman. Alex believing his father to be at death's door and in need of a bone marrow transplant, ventures from Serbia to Chicago to find his brother Peter ... Leer todo"
tt0892767,Jonas Åkerlund,Dave Callaham,5.5,1h 30min,A recently widowed detective still grieving over his wife's death discovers a shocking connection between a serial killing spree and the Four Horsemen of the Apocalypse.
tt0893585,Romilla Mukherjee,Romilla Mukherjee,6.5,2h 20min,An elderly grandmother and others spy on a neighbor.
tt0896529,Ruba Nadda,Ruba Nadda,6.6,1h 30min,"A romantic drama about a brief, unexpected love affair that catches two people completely off-guard."
tt0896923,James Ivory,"Ruth Prawer Jhabvala, Peter Cameron",6.3,1h 57min,
tt0898367,John Hillcoat,"Joe Penhall, Cormac Mc, Carthy",7.2,1h 51min,
tt0899106,Brandon Camp,"Brandon Camp, Mike Thompson",5.7,1h 49min,
tt0901494,Buddy Giovinazzo,Buddy Giovinazzo,6.1,1h 39min,Various stories of how crack cocaine has infiltrated the inner-city streets.
tt0903606,"Vincent Scordia, Jeff Siegel","Jeff Siegel, Mark Rowland, Vincent Scordia",2.6,1h 35min,"In this over-the-top comedy, the relationships of three girls and fours guys - in affluent, adolescent suburban reality - intersect through the topsy-turvy world of love, power...and hooking up."
tt0902982,Aaron Woolfolk,Aaron Woolfolk,6.4,2h,
tt0906083,Srdjan Dragojevic,Dusan Kovacevic,6.4,2h,Dirección
tt0910555,Scott Sublett,Scott Sublett,4.5,1h 21min,"The writer can do anything he wants, right? Or maybe not...as Steven, a handsome young theater history professor discovers when he sets out to write a stage thriller - a plain, old generic thriller - only to discover that his characters prefer a character study - and want it to be a movie, not a play. At least Steven can create the man of his dreams, right? But that c... Leer todo"
tt0910905,Bertrand Tavernier,"Jerzy Kromolowski, Mary Olson-Kromolowski, James Lee Burke",6.1,1h 57min,
tt0913413,Todd Louiso,"Jacob Koskoff, Todd Louiso",4.0,1h 24min,"Former high school musical star, Marc Pease, finds himself still living in the past, eight years after graduating."
tt0913425,Pedro Almodóvar,Pedro Almodóvar,7.2,2h 7min,
tt0914373,Huck Melnick,Jeremy Herman,6.6,1h 32min,"A ""feinschmecker"" tries to seize his last chance of happiness with a beautiful street performer."
tt0914366,Stephen Leeds,Stephen Leeds,7.7,2009,Tommy is a beat-boxer looking to make a name for himself in the nightlife scene.
tt0914837,Malcolm Venville,"Louis Mellis, David Scinto",5.8,1h 35min,A jealous husband and his friends plot the kidnapping of his wife's lover with the intention of restoring his wounded ego.
