,0,1
0,nm0001002,"WorldFest Houston, Gold Award"
1,nm0001002,"Green Mountain Film Festival (GMFF), Jury Prize"
2,nm0001002,"IndieFEST Film Awards, Award of Excellence"
3,nm0001002,"Festigious International Film Festival, Festival Award"
4,nm0001002,"Festigious International Film Festival, October Award"
5,nm0001002,"Actors Awards, Los Angeles, Actors Award"
6,nm0001002,"Christian Family Film Festival, Gold Award"
7,nm0001002,"Best Actor Award, Diamond Award"
8,nm0001002,"Christian Film Festival, Festival Award"
9,nm0001002,"Christian Film Festival, Festival Award"
10,nm0001299,
11,nm0923529,"Daytime Emmy Awards, Daytime Emmy"
12,nm0936365,
13,nm0868692,"Festival del Cine Venezolano, Best Supporting Actor"
14,nm0004487,"Filmfare Awards, Filmfare Award"
15,nm0004487,"Bollywood Awards, Bollywood Movie Award"
16,nm0004487,"Sansui Viewer's Choice Awards, Sansui Viewer's Choice Award"
17,nm0004487,"GR8! Women Achiever Awards, India, Cinema"
18,nm0004487,"Annual Central European Bollywood Awards, India, Popular Award"
19,nm0004487,"IBNLive Movie Awards, Popular Award"
20,nm0004487,"Star Gold Comedy Honors, Popular Award"
21,nm0004487,"Screen Awards, IN, Screen Award"
22,nm0004487,"Screen Awards, IN, Screen Award"
23,nm0004487,"Asiavision Awards, Asiavision Award - Hindi"
24,nm0004487,"London Asian Film Festival, Festival Award"
25,nm0004487,"Hitlist OTT Awards, OTT Film Award"
26,nm0004487,"Bollywood Life Awards, Bollywood Life - Hindi Film Award"
27,nm0004487,"Lux Golden Rose Awards, Popular Award"
28,nm0438463,"Filmfare Awards, Filmfare Award"
29,nm0438463,"Filmfare Awards, Filmfare Award"
30,nm0438463,"Awards of the International Indian Film Academy, IIFA Award"
31,nm0438463,"Awards of the International Indian Film Academy, Popular Award"
32,nm0438463,"Awards of the International Indian Film Academy, Special Award"
33,nm0438463,"Zee Cine Awards, Jury's Choice Award"
34,nm0438463,"Zee Cine Awards, Jury's Choice Award"
35,nm0438463,"Zee Cine Awards, Popular Award"
36,nm0438463,"Zee Cine Awards, Critics Choice Award"
37,nm0438463,"National Film Awards, India, Silver Lotus Award"
38,nm0438463,"Screen Actors Guild Awards, Actor"
39,nm0438463,"Bombay International Film Festival, Significant Contribution to Indian Cinema"
40,nm0438463,"Apsara Film Producers Guild Awards, Apsara Award"
41,nm0438463,"Bollywood Awards, Bollywood Movie Award"
42,nm0438463,"Bollywood Awards, Bollywood Movie Award"
43,nm0438463,"Bollywood Awards, Bollywood Movie Award"
