,0,1
0,nm0001118,"People's Choice Awards, USA, People's Choice Award"
1,nm0001118,"People's Choice Awards, USA, People's Choice Award"
2,nm0001118,"Photoplay Awards, Gold Medal"
3,nm0005286,"Academy of Science Fiction, Fantasy & Horror Films, USA, Saturn Award"
4,nm0005286,"Academy of Science Fiction, Fantasy & Horror Films, USA, Saturn Award"
5,nm0005286,"Blockbuster Entertainment Awards, Blockbuster Entertainment Award"
6,nm0005286,"Blockbuster Entertainment Awards, Blockbuster Entertainment Award"
7,nm0005286,"Critics Choice Awards, Critics Choice Award"
8,nm0005286,"Dallas-Fort Worth Film Critics Association Awards, DFWFCA Award"
9,nm0005286,"Florida Film Critics Circle Awards, FFCC Award"
10,nm0005286,"Satellite Awards, Special Achievement Award"
11,nm0005286,"Kansas City Film Critics Circle Awards, KCFCC Award"
12,nm0005286,"Las Vegas Film Critics Society Awards, Sierra Award"
13,nm0005286,"Las Vegas Film Critics Society Awards, Sierra Award"
14,nm0005286,"Las Vegas Film Critics Society Awards, Sierra Award"
15,nm0005286,"MTV Movie + TV Awards, MTV Movie Award"
16,nm0005286,"Online Film Critics Society Awards, OFCS Award"
17,nm0005286,"ShoWest Convention, USA, ShoWest Award"
18,nm0005286,"Southeastern Film Critics Association Awards, SEFCA Award"
19,nm0005286,"Teen Choice Awards, Teen Choice Award"
20,nm0005286,"YoungStar Awards, YoungStar Award"
21,nm0005286,"YoungStar Awards, YoungStar Award"
22,nm0005286,"YoungStar Awards, YoungStar Award"
23,nm0005286,"Fangoria Chainsaw Awards, Chainsaw Award"
24,nm0005286,"Online Film & Television Association, OFTA Film Award"
25,nm0005286,"Online Film & Television Association, OFTA Film Award"
26,nm0005286,"Behind the Voice Actors Awards, BTVA Video Game Voice Acting Award"
27,nm0258117,"Bare Bones International Film & Music Festival, Gold Bone Award"
28,nm0337566,
29,nm0005054,
30,nm0512182,
31,nm0120301,
32,nm0100762,
33,nm0780470,
34,nm0302956,"BendFilm Festival, Best of Show"
35,nm0000187,"ASCAP Film and Television Music Awards, ASCAP Award"
36,nm0000187,"ASCAP Film and Television Music Awards, ASCAP Award"
37,nm0000187,"ASCAP Film and Television Music Awards, ASCAP Award"
38,nm0000187,"ASCAP Film and Television Music Awards, ASCAP Award"
39,nm0000187,"Brit Awards, Brit"
40,nm0000187,"Brit Awards, Brit"
41,nm0000187,"GLAAD Media Awards, Advocate For Change Award"
42,nm0000187,"Golden Globes, USA, Golden Globe"
