,0,1
0,nm0001002,"['WorldFest Houston, Gold Award', 'Green Mountain Film Festival (GMFF), Jury Prize', 'IndieFEST Film Awards, Award of Excellence', 'Festigious International Film Festival, Festival Award', 'Festigious International Film Festival, October Award', 'Actors Awards, Los Angeles, Actors Award', 'Christian Family Film Festival, Gold Award', 'Best Actor Award, Diamond Award', 'Christian Film Festival, Festival Award', 'Christian Film Festival, Festival Award']"
1,nm0001299,[nan]
2,nm0923529,"['Daytime Emmy Awards, Daytime Emmy']"
3,nm0936365,[nan]
4,nm0868692,"['Festival del Cine Venezolano, Best Supporting Actor']"
5,nm0004487,"['Filmfare Awards, Filmfare Award', 'Bollywood Awards, Bollywood Movie Award', ""Sansui Viewer's Choice Awards, Sansui Viewer's Choice Award"", 'GR8! Women Achiever Awards, India, Cinema', 'Annual Central European Bollywood Awards, India, Popular Award', 'IBNLive Movie Awards, Popular Award', 'Star Gold Comedy Honors, Popular Award', 'Screen Awards, IN, Screen Award', 'Screen Awards, IN, Screen Award', 'Asiavision Awards, Asiavision Award - Hindi', 'London Asian Film Festival, Festival Award', 'Hitlist OTT Awards, OTT Film Award', 'Bollywood Life Awards, Bollywood Life - Hindi Film Award', 'Lux Golden Rose Awards, Popular Award']"
6,nm0438463,"['Filmfare Awards, Filmfare Award', 'Filmfare Awards, Filmfare Award', 'Awards of the International Indian Film Academy, IIFA Award', 'Awards of the International Indian Film Academy, Popular Award', 'Awards of the International Indian Film Academy, Special Award', ""Zee Cine Awards, Jury's Choice Award"", ""Zee Cine Awards, Jury's Choice Award"", 'Zee Cine Awards, Popular Award', 'Zee Cine Awards, Critics Choice Award', 'National Film Awards, India, Silver Lotus Award', 'Screen Actors Guild Awards, Actor', 'Bombay International Film Festival, Significant Contribution to Indian Cinema', 'Apsara Film Producers Guild Awards, Apsara Award', 'Bollywood Awards, Bollywood Movie Award', 'Bollywood Awards, Bollywood Movie Award', 'Bollywood Awards, Bollywood Movie Award', ""Sansui Viewer's Choice Awards, Sansui Viewer's Choice Award"", ""People's Choice Awards, India, People's Choice Award"", 'GQ Awards, India, GQ Award', 'Indian Television Academy Awards, India, OTT Award', 'Indian Television Academy Awards, India, Indian Television Academy Award', 'Indian Television Academy Awards, India, Indian Television Academy Award', 'Indian Television Academy Awards, India, Special Award', ""Stardust Awards, India, Reader's Choice"", ""Stardust Awards, India, Reader's Choice"", 'Times of India Film Awards, Popular Award', 'Dadasaheb Phalke International Film Festival (DPIFF), Dada Saheb Phalke Award', 'HELLO! Hall of Fame Awards, India, HELLO! Hall of Fame Award', 'HELLO! Hall of Fame Awards, India, HELLO! Hall of Fame Award', 'Star Gold Comedy Honors, Popular Award', 'Screen Awards, IN, Screen Award', 'Screen Awards, IN, Screen Award', 'Indian Telly Awards, Indian Telly Award', 'Colors Golden Petal Awards, Colors Golden Petal Award', 'Colors Golden Petal Awards, Colors Golden Petal Award', 'Indian Film Festival Of Melbourne, Honorary Award', 'IWM Digital Awards, Popular Award', 'Filmfare OTT Awards, Popular Award', 'Style Awards, Pinkvilla Style Icons Award', 'News18 REEL Movie Award, Popular Award', 'OTTplay Awards, Jury Award', 'Bollywood Hungama Style Icons Awards, Popular Award', ""HT India's Most Stylish Awards, Popular Award"", ""Bollywood Hungama OTT India Fest, People's Choice Award""]"
7,nm0438501,"['Filmfare Awards, Filmfare Award', ""Filmfare Awards, Critics' Awards"", 'Filmfare Awards, Special Award', 'Awards of the International Indian Film Academy, Popular Award', 'Awards of the International Indian Film Academy, Popular Award', 'Zee Cine Awards, Zee Cine Award', 'Zee Cine Awards, Zee Cine Award', 'National Film Awards, India, Silver Lotus Award', 'Bombay International Film Festival, Significant Contribution to Indian Cinema', 'Apsara Film Producers Guild Awards, Apsara Award', ""People's Choice Awards, India, Movie Award"", ""Stardust Awards, India, Reader's Choice"", 'Times of India Film Awards, Popular Award', 'Cosmopolitan Fun Fearless Awards, UK Bollywood Cosmopolitan Awards', 'Star Gold Comedy Honors, Popular Award', 'Screen Awards, IN, Screen Award', 'Screen Awards, IN, Screen Award', 'Lions Gold Awards, Film Award', 'Bollywood Film Journalist Awards, Popular Award', 'Bollywood Film Journalist Awards, Special Award', ""HT India's Most Stylish Awards, Popular Award""]"
8,nm0025627,[nan]
9,nm0532458,"['Chicago International Film Festival, Silver Hugo', 'Amazonas Film Festival, Amazonas Award']"
10,nm0659922,[nan]
11,nm0690185,"['Brazilia Festival of Brazilian Cinema, Candango Trophy']"
12,nm0707967,[nan]
13,nm0006763,"['Filmfare Awards, Short Film Award', 'Indian Television Academy Awards, India, Indian Television Academy Award', 'Asiavision Awards, Asiavision Award - Hindi', 'Ananda Vikatan Cinema Awards, Ananda Vikatan Cinema Award', 'Sprrkle Collective, Jury Prize', 'IWM Digital Awards, Jury Award', 'GQ Men of the Year Awards, GQ India Man Of The Year', 'Style Awards, Pinkvilla Style Icons Award', 'Talent Track Awards, Digital Movies & TV Series Award', 'Kalashree Awards, Special Award', 'Lokmat Stylish Awards, Popular Award', 'ScreenXX Summit & Awards, Jury Choice Award', ""HT India's Most Stylish Awards, Popular Award""]"
14,nm0007113,"['Filmfare Awards, Filmfare Award', 'Awards of the International Indian Film Academy, Popular Award', 'Zee Cine Awards, Popular Award', 'National Film Awards, India, Silver Lotus Award', 'National Film Awards, India, Silver Lotus Award', 'National Film Awards, India, Silver Lotus Award', ""People's Choice Awards, India, People's Choice Award"", 'Screen Awards, IN, Screen Award', 'Zee Gaurav Awards, Zee Chitra Gaurav Puraskar', ""Bengal Film Journalists' Award, BFJA Award"", ""Bengal Film Journalists' Award, BFJA Award"", 'Ananda Vikatan Cinema Awards, Ananda Vikatan Cinema Award', 'Filmfare Awards Marathi, Main Award']"
15,nm0310173,[nan]
16,nm0412917,"['Awards of the International Indian Film Academy, Popular Award', 'Star Gold Comedy Honors, Popular Award', 'Indian Telly Streaming Awards, Popular Award']"
17,nm0504897,"['Cannes Film Festival, Best Actor', 'Golden Bauhinia Awards, Golden Bauhinia', 'Golden Bauhinia Awards, Golden Bauhinia', 'Golden Bauhinia Awards, Golden Bauhinia', 'Golden Horse Film Festival, Golden Horse Award', 'Golden Horse Film Festival, Golden Horse Award', 'Golden Rooster Awards, Golden Rooster', 'Hong Kong Film Awards, Hong Kong Film Award', 'Hong Kong Film Critics Society Awards, HKFCS Award', 'Online Film Critics Society Awards, Lifetime Achievement Award', 'Venice Film Festival, Career Golden Lion', 'Asian Film Awards, Asian Film Award', 'Asian Film Awards, Outstanding Contribution to Asian Cinema', 'Asian Film Awards, Asian Film Award', 'Tallinn Black Nights Film Festival, Jury Prize', 'Hong Kong Society of Cinematographers (HKSC) Awards, HKSC Award', 'Utah Film Critics Association Awards, Vice/Martin Award', 'Asian Film Critics Association Awards, NETPAC Award', 'Asian Film Critics Association Awards, NETPAC Award', ""Hong Kong Directors Guild Awards, Hong Kong Directors' Guild Award"", 'Iron Elephant Film Awards, Iron Elephant Award', 'Huading Award, 1978 Excellence Award', 'Busan International Film Festival, Asian Filmmaker of the Year', 'Weibo Awards Ceremony, Weibo Award', 'Gold List, Gold List Award']"
18,nm0001041,"['Asia-Pacific Film Festival, APFF Award', 'Berlin International Film Festival, Silver Berlin Bear', 'Cannes Film Festival, Best Actress', 'Chicago International Film Festival, Silver Hugo', 'Golden Bauhinia Awards, Golden Bauhinia', 'Golden Horse Film Festival, Golden Horse Award', 'Golden Horse Film Festival, Golden Horse Award', 'Golden Horse Film Festival, Golden Horse Award', 'Golden Horse Film Festival, Golden Horse Award', 'Hawaii International Film Festival, Achievement in Acting', 'Hong Kong Film Awards, Hong Kong Film Award', 'Hong Kong Film Awards, Hong Kong Film Award', 'Hong Kong Film Awards, Hong Kong Film Award', 'Hong Kong Film Awards, Hong Kong Film Award', 'Hong Kong Film Critics Society Awards, HKFCS Award', 'Montréal World Film Festival, Grand Prix Special des Amériques', 'Shanghai International Film Festival, Outstanding Contribution to Chinese Cinema', 'Torino International Festival of Young Cinema, Jury Special Prize', 'Durban International Film Festival, Best Lead Performance', 'SESC Film Festival, Brazil, Audience Award', 'Chinese Film Media Awards, China Film Media Award', 'Online Film & Television Association, OFTA Film Hall of Fame', 'Huading Award, 1978 Excellence Award', 'Japan Movie Critics Award, Japan Movie Critics Award']"
19,nm0803310,[nan]
20,nm0156432,[nan]
21,nm0164934,"['WorldFest Houston, Bronze Award', 'Top Indie Film Awards, Winter Award']"
22,nm0253043,[nan]
23,nm0394625,[nan]
24,nm0566663,[nan]
25,nm0000199,"['Academy Awards, USA, Oscar', 'American Comedy Awards, USA, American Comedy Award', 'American Film Institute, USA, Life Achievement Award', 'Boston Society of Film Critics Awards, BSFC Award', 'BAFTA Awards, BAFTA Film Award', 'David di Donatello Awards, David', 'David di Donatello Awards, Special David', 'Directors Guild of America, USA, DGA Award', 'Primetime Emmy Awards, Primetime Emmy', 'Primetime Emmy Awards, Primetime Emmy', 'Film Society of Lincoln Center, Gala Tribute', 'Golden Camera, Germany, Golden Camera for Lifetime Achievement', 'Golden Globes, USA, Golden Globe', 'Satellite Awards, Satellite Award', 'Gotham Awards, Lifetime Achievement Award', 'Hollywood Film Awards, Hollywood Film Award', 'Kansas City Film Critics Circle Awards, KCFCC Award', 'Karlovy Vary International Film Festival, Best Actor', 'Los Angeles Film Critics Association Awards, LAFCA Award', 'National Board of Review, USA, Icon Award', 'National Board of Review, USA, NBR Award', 'National Board of Review, USA, NBR Award', 'National Society of Film Critics Awards, USA, NSFC Award', 'Razzie Awards, Razzie Award', 'Razzie Awards, Razzie Award', 'San Sebastián International Film Festival, Donostia Lifetime Achievement Award', 'San Sebastián International Film Festival, Prize San Sebastián', 'Valladolid International Film Festival, Best Actor', 'Venice Film Festival, Queer Lion', 'Venice Film Festival, Jaeger-LeCoultre Glory to the Filmmaker Award', 'Venice Film Festival, Career Golden Lion', 'Boston Film Festival, Film Excellence Award', 'Fangoria Chainsaw Awards, Chainsaw Award', 'Dublin International Film Festival, Career Achievement Award', 'Los Angeles Italia Film Festival, US, Jack Valenti Legend Award', 'Alliance of Women Film Journalists, EDA Special Mention Award', 'CinEuphoria Awards, CinEuphoria', 'Online Film & Television Association, OFTA Film Hall of Fame', 'The Kennedy Center Honors, Kennedy Center Honors', 'Yoga Awards, Yoga Award', 'Voghera Film Festival, Festival Prize']"
26,nm0001583,"['Screen Actors Guild Awards, Actor', 'Online Film & Television Association, OFTA TV Hall of Fame']"
27,nm0283299,[nan]
28,nm0568375,[nan]
29,nm0487254,"['César Awards, France, César', 'César Awards, France, César', 'Prix Jean Gabin, Prix Jean Gabin']"
30,nm0001250,"['Bodil Awards, Bodil', 'Bodil Awards, Bodil', 'Bratislava International Film Festival, Best Actress', 'Cannes Film Festival, Best Actress', 'César Awards, France, César', 'Film Independent Spirit Awards, Robert Altman Award', 'Danish Film Awards (Robert), Robert', 'Sant Jordi Awards, Sant Jordi', 'Phoenix Film Critics Society Awards, PFCS Award', 'SESC Film Festival, Brazil, Critics Award', 'Ole Awards, Ole', 'Women Film Critics Circle Awards, Mommie Dearest Worst Screen Mom of the Year Award', 'Order of Arts and Letters, France, Officer of the Order of Arts and Letters']"
31,nm0749222,[nan]
32,nm0196076,[nan]
33,nm0611295,"['AltFF Alternative Film Festival, Festival Prize', 'X World Short Film Festival, Best Actor']"
34,nm0177185,"['Chicago/Midwest Emmy Awards, Chicago/Midwest Emmy']"
35,nm0172416,[nan]
36,nm0806173,"['LA Shorts Awards, Platinum Award']"
37,nm0106692,[nan]
38,nm0110055,[nan]
39,nm0720417,[nan]
40,nm0569498,[nan]
