,0,1,2,3,4,5
0,tt0119806,comedy,Nothing Sacred,movie,2000,11.0
1,tt0123003,comedy,Bruno,movie,2000,4.0
2,tt0123055,comedy,The Elf Who Didn't Believe,movie,2000,9.0
3,tt0120698,comedy,The Highwayman,movie,2000,4.0
4,tt0122459,comedy,Return to Me,movie,2000,6.0
5,tt0131704,comedy,The Adventures of Rocky & Bullwinkle,movie,2000,6.0
6,tt0138583,comedy,Love... at Your Disposal,movie,2000,4.0
7,tt0137115,comedy,Mothman,movie,X,
8,tt0138631,comedy,Muggers,movie,2000,5.0
9,tt0141399,comedy,Isn't She Great,movie,2000,1.0
10,tt0142650,comedy,Meeting Daddy,movie,2000,6.0
11,tt0144528,comedy,Nutty Professor II: The Klumps,movie,2000,10.0
12,tt0146682,comedy,The Extra,short,2000,2.0
13,tt0148095,comedy,Eat Me!,movie,X,
14,tt0149367,comedy,Where the Money Is,movie,2000,4.0
15,tt0156807,comedy,Mr. Accident,movie,2000,9.0
16,tt0157262,comedy,2001: A Space Travesty,movie,2001,9.0
17,tt0156741,comedy,Life/Drawing,movie,2005,
18,tt0156757,comedy,Mad About Mambo,movie,2000,7.0
19,tt0158622,comedy,The Flintstones in Viva Rock Vegas,movie,2000,7.0
20,tt0160710,comedy,Punks,movie,2000,1.0
21,tt0160403,comedy,The Independent,movie,2000,3.0
22,tt0160182,comedy,Desperate But Not Serious,movie,2000,10.0
23,tt0160127,comedy,Charlie's Angels,movie,2000,12.0
24,tt0160611,comedy,Ordinary Decent Criminal,movie,2001,1.0
25,tt0160607,comedy,Open Return,movie,X,
26,tt0162983,comedy,Hanging Up,movie,2000,6.0
27,tt0162711,comedy,Trixie,movie,2000,8.0
28,tt0164192,comedy,Big Monster on Campus,movie,2000,2.0
29,tt0166192,comedy,Finding Kelly,movie,2000,1.0
30,tt0168002,comedy,In Between,short,X,
31,tt0166339,comedy,Screenland Drive,movie,X,
32,tt0167802,comedy,The Boys Behind the Desk,movie,X,
33,tt0168578,comedy,"Chicks, Man",movie,2000,10.0
34,tt0168504,comedy,A Better Way to Die,movie,2001,9.0
35,tt0170016,comedy,Dr. Seuss' How the Grinch Stole Christmas,movie,2000,11.0
36,tt0170635,comedy,Sud Side Stori,movie,2000,9.0
37,tt0171356,comedy,Gun Shy,movie,2000,3.0
38,tt0172699,comedy,Labor Pains,movie,2000,11.0
39,tt0172854,comedy,Naked with Loons,movie,2000,6.0
40,tt0173716,comedy,Cecil B. Demented,movie,2000,8.0
41,tt0174336,comedy,Whipped,movie,2000,9.0
42,tt0174646,comedy,Just for the Time Being,movie,2000,2.0
43,tt0177195,comedy,Sample People,movie,2000,5.0
44,tt0177845,comedy,Hotel Splendide,movie,2000,9.0
45,tt0177858,comedy,Im Juli,movie,2000,8.0
46,tt0177185,comedy,The Rowdy Girls,movie,2013,5.0
47,tt0178866,comedy,Rhythm & Blues,movie,2000,1.0
48,tt0179915,comedy,Just Sue Me,movie,2000,9.0
49,tt0179987,comedy,Mondialito,movie,2001,1.0
50,tt0179144,comedy,Dean Quixote,movie,2000,
51,tt0180837,comedy,Bossa Nova,movie,2000,3.0
52,tt0182295,comedy,Love's Labour's Lost,movie,2000,9.0
53,tt0181945,comedy,A Piece of Eden,movie,2001,8.0
54,tt0183550,comedy,My Mother Frank,movie,2000,8.0
55,tt0183505,comedy,"Me, Myself & Irene",movie,2000,7.0
56,tt0181875,comedy,Almost Famous,movie,2001,5.0
