,0,1,2,3,4,5
0,tt0113092,drama,For the Cause,movie,2002,5
1,tt0116748,drama,Karobaar: The Business of Love,movie,2000,9
2,tt0116391,drama,Gang,movie,2000,4
3,tt0118694,drama,Fa yeung nin wah,movie,2001,3
4,tt0118852,drama,Chinese Coffee,movie,2000,9
5,tt0119495,drama,Love 101,movie,2000,2
6,tt0120485,drama,Way Past Cool,movie,X,
7,tt0120467,drama,Vulgar,movie,2000,9
8,tt0122161,drama,Lured Innocence,movie,2000,2
9,tt0120626,drama,Capitães de Abril,movie,2001,4
10,tt0120753,drama,The Million Dollar Hotel,movie,2000,5
11,tt0120698,drama,The Highwayman,movie,2000,4
12,tt0122459,drama,Return to Me,movie,2000,6
13,tt0129095,drama,Flamingo Dreams,movie,X,
14,tt0134630,drama,Duets,movie,2000,9
15,tt0135707,drama,Wind River,movie,2000,6
16,tt0138927,drama,Waterproof,movie,2000,8
17,tt0137115,drama,Mothman,movie,X,
18,tt0138818,drama,The Hiding Place,movie,2000,6
19,tt0141399,drama,Isn't She Great,movie,2000,1
20,tt0144142,drama,Committed,movie,2000,4
21,tt0142155,drama,Caught,short,2000,8
22,tt0146309,drama,Thirteen Days,movie,2001,4
23,tt0146984,drama,The Legend of Bagger Vance,movie,2001,5
24,tt0149624,drama,All the Pretty Horses,movie,2000,12
25,tt0151150,drama,Josh,movie,2000,6
26,tt0153100,drama,Time of Her Time,movie,2000,9
27,tt0155723,drama,A Good Baby,movie,2000,12
28,tt0155754,drama,I'll Remember April,movie,2001,4
29,tt0157202,drama,Yup Yup Man,movie,2005,1
30,tt0156942,drama,Rave,movie,2000,10
31,tt0156812,drama,My Dog Skip,movie,2000,8
32,tt0157122,drama,Trolösa,movie,2001,10
33,tt0159371,drama,Coping,movie,2000,3
34,tt0158871,drama,På fremmed mark,movie,2000,3
35,tt0160547,drama,More Dogs Than Bones,movie,2000,7
36,tt0160663,drama,Blast,movie,2000,4
37,tt0160289,drama,Four Dogs Playing Poker,movie,2000,6
38,tt0161216,drama,Steal This Movie,movie,2002,6
39,tt0160484,drama,Lost Souls,movie,2001,4
40,tt0160751,drama,The Redemption,movie,X,
41,tt0161003,drama,Train Ride,movie,2000,
42,tt0162222,drama,Cast Away,movie,2001,1
43,tt0162983,drama,Hanging Up,movie,2000,6
44,tt0162901,drama,Kasbah,movie,2000,9
45,tt0164212,drama,Under Suspicion,movie,2000,11
46,tt0163676,drama,The In Crowd,movie,2000,7
47,tt0163745,drama,The Debut,movie,2003,8
48,tt0164545,drama,Doomsday Man,movie,2000,
49,tt0166013,drama,When the Sky Falls,movie,2000,6
50,tt0167183,drama,The Girls' Room,movie,2000,3
51,tt0168629,drama,Dancer in the Dark,movie,2000,10
52,tt0167203,drama,I Dreamed of Africa,movie,2000,8
53,tt0169324,drama,Tick Tock,movie,2000,9
54,tt0169122,drama,Perfumed Garden: Tales of the Kama Sutra,movie,2000,6
55,tt0168504,drama,A Better Way to Die,movie,2001,9
56,tt0171433,drama,Keeping the Faith,movie,2000,8
57,tt0170452,drama,Prince of Central Park,movie,2000,12
58,tt0172495,drama,Gladiator,movie,2000,5
59,tt0171580,drama,Nurse Betty,movie,2000,11
60,tt0172699,drama,Labor Pains,movie,2000,11
61,tt0172693,drama,L.A.,movie,X,
62,tt0174448,drama,"6,000 Miles from Hollywood",movie,X,
63,tt0174480,drama,Autumn in New York,movie,2000,12
64,tt0175143,drama,Hangman,movie,X,
65,tt0176783,drama,Gossip,movie,2000,12
66,tt0177971,drama,The Perfect Storm,movie,2000,9
67,tt0179137,drama,Coronación,movie,2000,4
68,tt0178050,drama,Sunset Strip,movie,2000,8
69,tt0179861,drama,Icebreaker,movie,2000,5
70,tt0180093,drama,Requiem for a Dream,movie,2001,9
71,tt0179653,drama,Astoria,movie,2006,3
72,tt0181819,drama,Födelsedagen,movie,2000,3
73,tt0181865,drama,Traffic,movie,2001,3
74,tt0183056,drama,Esther Kahn,movie,2000,10
75,tt0183639,drama,The Pavilion,movie,2000,4
76,tt0180683,drama,Everything's Jake,movie,2000,3
77,tt0183550,drama,My Mother Frank,movie,2000,8
78,tt0182508,drama,Urbania,movie,2001,8
79,tt0181984,drama,Boiler Room,movie,2000,8
80,tt0184056,drama,Les yeux brouillés,movie,2000,6
81,tt0184858,drama,Reindeer Games,movie,2000,10
82,tt0185542,drama,New Year's Day,movie,2001,11
83,tt0186221,drama,A House by the Sea,movie,2007,1
84,tt0187880,drama,Highway Society,movie,2000,3
85,tt0187393,drama,The Patriot,movie,2000,7
86,tt0186975,drama,Down to You,movie,2000,7
87,tt0187761,drama,Brooklyn Sonnet,movie,X,
88,tt0186719,drama,The Young Unknowns,movie,2000,3
89,tt0186894,drama,Bounce,movie,2001,5
90,tt0187847,drama,Fear of Fiction,movie,2000,7
91,tt0188189,drama,Safe Journey,short,2000,
92,tt0188518,drama,Complicity,movie,2000,7
93,tt0188613,drama,Les fantômes des Trois Madeleine,movie,2000,5
94,tt0188688,drama,Insatiable Wives,movie,2007,9
95,tt0190052,drama,Surrender,movie,2003,12
96,tt0190524,drama,Left Behind,movie,2001,2
97,tt0190332,drama,Wo hu cang long,movie,2001,2
98,tt0191754,drama,28 Days,movie,2000,6
99,tt0190865,drama,Vertical Limit,movie,2001,2
100,tt0189960,drama,A Raiz do Coração,movie,2000,10
101,tt0190736,drama,Sand,movie,2000,11
102,tt0192180,drama,Jim's Camera,movie,X,
103,tt0192719,drama,No Alibi,movie,2000,3
104,tt0192949,drama,Stardom,movie,2000,10
105,tt0191782,drama,Among Others,short,2000,6
106,tt0192678,drama,Tierra del fuego,movie,2000,5
